Artist,Song Title,sadness,joy,fear,disgust,anger
Herman Brood,When I Get Home,0.082429,0.683606,0.109604,0.085018,0.10308
hide,ever free,0.298029,0.243933,0.451842,0.035135,0.057773
hide,Hurry go round,0.811072,0.054879,0.20069,0.016141,0.118549
hide,Pink Spider,0.028816,0.061859,0.815881,0.140505,0.194092
hide,Rocket Dive,0.160707,0.482064,0.20214,0.201063,0.098645
Jonghyun,#Hashtag,0.137612,0.337696,0.018188,0.356135,0.352973
Jonghyun,Before Our Spring,0.209123,0.24983,0.576325,0.021309,0.068941
Jonghyun,Grease,0.742598,0.013113,0.132119,0.092184,0.321946
Jonghyun,IÂm So Curious,0.540427,0.583269,0.172316,0.107033,0.118476
Jonghyun,Just for a day,0.476197,0.223784,0.214965,0.052506,0.107518
Jonghyun,Only One You Need,0.267307,0.02988,0.100417,0.010541,0.033069
Jonghyun,Rewind,0.061936,0.104017,0.060835,0.009525,0.045088
Jonghyun,Sentimental,0.720894,0.074478,0.210179,0.128074,0.103155
Jonghyun,Shinin',0.014814,0.567268,0.013416,0.009428,0.024065
Jonghyun,Sightseeing,0.097787,0.071019,0.13505,0.468633,0.190046
Jonghyun,Take The Dive,0.023394,0.353351,0.025435,0.020234,0.013396
Joy Division,A Means to an End,0.228237,0.20471,0.214026,0.099046,0.375528
Joy Division,Atrocity Exhibition,0.173807,0.305669,0.042705,0.044533,0.153752
Joy Division,Colony,0.050744,0.798621,0.023016,0.032366,0.115903
Joy Division,Decades,0.0,0.0,0.0,0.0,0.0
Joy Division,Heart and Soul,0.45348,0.454057,0.121247,0.001918,0.045362
Joy Division,Love Will Tear Us Apart,0.168294,0.739203,0.047943,0.017192,0.046608
Joy Division,Passover,0.505616,0.043611,0.23117,0.158796,0.377571
Joy Division,The Eternal,0.667754,0.260251,0.071489,0.024603,0.095673
Joy Division,Twenty Four Hours,0.670602,0.092649,0.28256,0.07206,0.115378
Keith Emerson,"The Endless Enigma Suite, Pt. 1",0.163249,0.035764,0.418508,0.227693,0.111831
Keith Emerson,"The Endless Enigma Suite, Pt. 2",0.241784,0.488829,0.22488,0.078679,0.030784
Kim Kwang-seok,Get Up(with Common Ground),0.283572,0.682317,0.019519,0.005543,0.021421
Kim Kwang-seok,Where the Wind Rises(with Hareem),0.081916,0.411206,0.546322,0.018625,0.030566
Kingston Wall,Alt-Land-Is,0.184115,0.606588,0.1114,0.035574,0.128617
Kingston Wall,Another Piece of Cake,0.510027,0.070523,0.076275,0.066313,0.527358
Kingston Wall,For All Mankind,0.279149,0.540869,0.070849,0.115085,0.021249
Kingston Wall,"I'm the King, I'm the Sun",0.201871,0.754232,0.020565,0.005366,0.004209
Kingston Wall,Party Goes On,0.47907,0.529908,0.074079,0.693614,0.206429
Kingston Wall,Take You to Sweet Harmony,0.070617,0.889506,0.008587,0.003047,0.031058
Kingston Wall,The Real Thing,0.466128,0.068156,0.146868,0.273745,0.357941
Kingston Wall,Welcome to the Mirrorland,0.212012,0.53707,0.151455,0.041498,0.157153
Link 80,Better Than Shit,0.518599,0.530485,0.114353,0.065583,0.588812
