,Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,Genre,Energy,Danceability,Mode,Valence
0,Alicia Keys,101,0.7554420000000001,0.07814600000000001,0.08736000000000001,0.077448,0.172543,0.5710649999999999,0.054482,0.32209899999999997,0.042283,0.301698,hip pop,0.289,0.0842,0,0.276
1,Alicia Keys,28 Thousand Days,0.455974,0.20314300000000002,0.36685999999999996,0.09464199999999999,0.080229,0.184473,0.624789,0.08871699999999999,0.154802,0.128243,hip pop,0.579,0.20800000000000002,0,0.478
2,Ben Harper,A House Is A Home,0.591305,0.054765,0.479563,0.019922,0.074754,0.492299,0.17364000000000002,0.381799,0.020932,0.081338,neo mellow,0.536,0.8690000000000001,1,0.731
3,Ben Harper,All That Matters Now,0.764776,0.04749,0.21556599999999998,0.049946,0.11445699999999999,0.269951,0.592749,0.06665499999999999,0.021417,0.060315999999999995,neo mellow,0.0537,0.203,1,0.527
4,Big Sean,10 2 10,0.525978,0.008851999999999999,0.324128,0.099337,0.419207,0.419919,0.090773,0.511651,0.019066,0.134516,hip hop,0.897,0.24,1,0.632
5,Big Sean,100 Keys,0.321783,0.058166999999999996,0.093795,0.13308399999999998,0.697379,0.295743,0.471463,0.050315,0.052153,0.18521700000000002,hip hop,0.7509999999999999,0.149,0,0.644
6,Big Sean,100,0.709688,0.021246,0.11906099999999999,0.09436900000000001,0.36694099999999996,0.9188940000000001,0.035436,0.084337,0.018027,0.052868,hip hop,0.7509999999999999,0.149,0,0.644
7,Drake,God's Plan,0.6519510000000001,0.185355,0.11213900000000002,0.014818000000000001,0.163379,0.43337600000000004,0.064318,0.57863,0.015384,0.15295899999999998,hip hop,0.45399999999999996,0.344,1,0.753
8,Drake,Hotline Bling,0.6841689999999999,0.06816,0.204621,0.092941,0.180133,0.102278,0.28536300000000003,0.111696,0.012256999999999999,0.059235,hip hop,0.621,0.5529999999999999,1,0.903
9,Drake,One Dance,0.532076,0.026747000000000003,0.46963999999999995,0.086839,0.113524,0.220725,0.33347,0.22019899999999998,0.020587,0.112897,hip hop,0.61,0.391,1,0.7959999999999999
10,Drake,Passionfruit,0.525826,0.22841399999999998,0.12123699999999998,0.017379,0.22314099999999998,0.654705,0.069083,0.158375,0.12181700000000001,0.195152,hip hop,0.45899999999999996,0.37200000000000005,1,0.804
11,Eminem,Lose Yourself,0.480191,0.042237000000000004,0.08402799999999999,0.083142,0.6087779999999999,0.347994,0.5243399999999999,0.11153099999999999,0.005835,0.044621,hip hop,0.732,0.0689,1,0.698
