Artist,Song Title,anger,joy,fear,sadness,surprise
Herman Brood,When I Get Home,-1,-1,-1,-1,-1
hide,Breeding,-1,-1,-1,-1,-1
hide,ever free,0.5453712940000001,0.0332118012,0.0444605052,0.3625465631,0.014409918300000001
hide,Hurry go round,-1,-1,-1,-1,-1
hide,Leather Face,-1,-1,-1,-1,-1
hide,Pink Cloud Assembly,-1,-1,-1,-1,-1
hide,Pink Spider,0.09850296380000001,0.3327052593,0.1983574331,0.19507500530000002,0.1753593981
hide,Rocket Dive,0.0360043123,0.6801179647000001,0.06387172640000001,0.1496925503,0.0703134388
Johnny J,Better Off,-1,-1,-1,-1,-1
Johnny J,Get Away From Me,-1,-1,-1,-1,-1
Johnny J,I'm a Better Man,0.1237630621,0.0934157223,0.08445553480000001,0.43680351970000003,0.2615621388
Johnny J,Love's the Way,-1,-1,-1,-1,-1
Johnny J,Something She Can Feel,-1,-1,-1,-1,-1
Johnny J,Why You Want Me Now,-1,-1,-1,-1,-1
Jonghyun,#Hashtag,0.2586199343,0.0133674489,0.0472645201,0.6334123611,0.0473357029
Jonghyun,Before Our Spring,0.1105199382,0.0625345409,0.4230316281,0.4005679488,0.0033459342
Jonghyun,Grease,0.181129843,0.0105203949,0.024887003,0.7814177275,0.0020450016
Jonghyun,Just for a day,0.11854975670000001,0.15986472370000002,0.2050175965,0.44784501190000003,0.0687228218
Jonghyun,Only One You Need,0.2274349779,0.0180567466,0.0653727949,0.6859586835,0.0031768484
Jonghyun,Rewind,-1,-1,-1,-1,-1
Jonghyun,Sentimental,0.0382581204,0.095409885,0.1113447994,0.7128313780000001,0.0421558917
Jonghyun,Shinin',0.0490606092,0.771977067,0.0584565923,0.0995335132,0.0209722295
Jonghyun,Sightseeing,0.2700031102,0.29009914400000003,0.1823119819,0.191666007,0.0659196824
Jonghyun,Take The Dive,0.0458718687,0.318980664,0.5356115103,0.06938721240000001,0.0301486589
Joy Division,A Means to an End,-1,-1,-1,-1,-1
Joy Division,Atrocity Exhibition,-1,-1,-1,-1,-1
Joy Division,Colony,0.23897400500000002,0.1852905005,0.3043271303,0.2011110485,0.0702972859
Joy Division,Decades,-1,-1,-1,-1,-1
Joy Division,Heart and Soul,-1,-1,-1,-1,-1
Joy Division,Isolation,-1,-1,-1,-1,-1
Joy Division,Love Will Tear Us Apart,-1,-1,-1,-1,-1
Joy Division,Passover,-1,-1,-1,-1,-1
Joy Division,The Eternal,-1,-1,-1,-1,-1
Joy Division,Twenty Four Hours,-1,-1,-1,-1,-1
Keith Emerson,"The Endless Enigma Suite, Pt. 1",-1,-1,-1,-1,-1
Keith Emerson,"The Endless Enigma Suite, Pt. 2",-1,-1,-1,-1,-1
Kim Kwang-seok,Get Up(with Common Ground),-1,-1,-1,-1,-1
Kim Kwang-seok,Where the Wind Rises(with Hareem),0.2176272869,0.051533568700000004,0.10168749090000001,0.5827442408,0.046407457400000005
Kingston Wall,Alt-Land-Is,0.2559941113,0.0929085612,0.09157131610000001,0.5358977318,0.023628287
Kingston Wall,Another Piece of Cake,0.34094673400000003,0.08280591670000001,0.35637426380000004,0.1917361319,0.0281369947
Kingston Wall,For All Mankind,-1,-1,-1,-1,-1
Kingston Wall,"I'm the King, I'm the Sun",0.0335874483,0.7685052156000001,0.0849393383,0.0756620392,0.0373059064
Kingston Wall,Party Goes On,0.1626843512,0.1797291189,0.2071425319,0.4258531928,0.0245908108
Kingston Wall,Take You to Sweet Harmony,-1,-1,-1,-1,-1
Kingston Wall,The Real Thing,0.0808477849,0.178550452,0.4636751711,0.2451321632,0.0317943916
Kingston Wall,Time,-1,-1,-1,-1,-1
Kingston Wall,Welcome to the Mirrorland,0.629786253,0.0382434428,0.2155798078,0.0986151695,0.0177753977
Link 80,Better Than Shit,0.5117759705,0.12012256680000001,0.0621483997,0.2660545409,0.0398985595
Link 80,For What It's Worth,0.6543703675,0.0789032429,0.0578820966,0.1609468311,0.047897413400000005
Link 80,No Such Thing,0.2441707551,0.1150380671,0.2078719735,0.4097064734,0.0232127607
Link 80,Packing Up,0.36778125170000003,0.0921608582,0.1353509873,0.3743289709,0.030377874200000002
Link 80,The Truth of It,0.45252078770000004,0.017985709000000002,0.044511940300000004,0.47148218750000004,0.013499407100000001
Linkin Park,Halfway Right,0.37183570860000004,0.0142321708,0.1601236165,0.4486332536,0.005175286
Linkin Park,Heavy (feat. Kiiara),-1,-1,-1,-1,-1
Material Issue,A Very Good Thing,-1,-1,-1,-1,-1
Material Issue,Kim the Waitress,0.2802680135,0.0157439765,0.024137172800000002,0.6397944093,0.040056437300000004
Material Issue,She's Goin' Thru My Head,-1,-1,-1,-1,-1
Michael Hutchence,A Straight Line,0.1417465508,0.1617648602,0.0519897826,0.2978639305,0.3466349244
Michael Hutchence,All I'm Saying,0.1496579945,0.0767892227,0.2912474573,0.2389018983,0.2434034497
Michael Hutchence,Baby It's Alright,0.028707560200000003,0.2824299335,0.5427394509,0.1368932277,0.0092297792
Michael Hutchence,Breathe,0.0616446137,0.006508816000000001,0.9246935844,0.0068596359,0.0002933681
Michael Hutchence,Don't Save Me from Myself,0.2450099885,0.005556086500000001,0.0712020174,0.6751554608,0.0030764395
Michael Hutchence,Fear,0.1619340181,0.0438642167,0.5841107368,0.1749007106,0.0351902917
Michael Hutchence,Flesh and Blood,0.0177761801,0.1003746092,0.0399314947,0.6440834999,0.19783422350000002
Michael Hutchence,Get on the Inside,0.0471509025,0.3845462203,0.47654640670000004,0.0771113187,0.014645092200000001
Michael Hutchence,Let Me Show You,-1,-1,-1,-1,-1
Michael Hutchence,Possibilities,0.1402399242,0.19060605760000002,0.2460113764,0.3525387645,0.0706038922
Michael Hutchence,Put the Pieces Back Together,0.0842173845,0.3726066649,0.1026331484,0.38623857500000003,0.0543042496
Michael Hutchence,She Flirts for England,0.8912838101,0.0016033778,0.012048700800000001,0.0909550935,0.0041090152
