,Artist,Song Title,Genre,verse_emotion,chorus_emotion,Loudness,Energy,Valence,Mode,Danceability
0,Bob Brozman,The Lonesome Road,country blues,sadness,joy,-15.873,0.127,0.36,1,0.56
1,Chris Cornell,Before We Disappear,alternative metal,joy,fear,-5.635,0.6729999999999999,0.326,1,0.39899999999999997
2,Chris Cornell,Bend In The Road,alternative metal,joy,sadness,-5.76,0.58,0.304,1,0.36700000000000005
3,Chris Cornell,Circling,alternative metal,sadness,joy,-8.071,0.441,0.10400000000000001,1,0.406
4,Chris Cornell,Dead Wishes,alternative metal,sadness,sadness,-5.571000000000001,0.716,0.34299999999999997,1,0.5720000000000001
5,Chris Cornell,Higher Truth,alternative metal,sadness,sadness,-5.426,0.792,0.611,0,0.595
6,Chris Cornell,Josephine,alternative metal,sadness,joy,-7.057,0.379,0.222,1,0.299
7,Chris Cornell,Let Your Eyes Wander,alternative metal,joy,joy,-10.677999999999999,0.294,0.579,1,0.516
8,Chris Cornell,Misery Chain,alternative metal,sadness,sadness,-8.73,0.33799999999999997,0.115,0,0.456
9,Chris Cornell,Murderer Of Blue Skies,alternative metal,anger,fear,-6.557,0.745,0.32,1,0.49200000000000005
10,Chris Cornell,Nearly Forgot My Broken Heart,alternative metal,fear,sadness,-5.426,0.792,0.611,0,0.595
11,Chris Cornell,Only These Words,alternative metal,joy,joy,-6.3,0.634,0.789,1,0.556
12,Chris Cornell,Our Time In The Universe,alternative metal,joy,fear,-6.2379999999999995,0.865,0.415,0,0.521
13,Chris Cornell,Through The Window,alternative metal,sadness,sadness,-6.937,0.479,0.376,1,0.528
14,Chris Cornell,Worried Moon,alternative metal,fear,fear,-5.754,0.755,0.479,1,0.534
15,Chris Cornell,Wrong Side,alternative metal,sadness,sadness,-5.359,0.6609999999999999,0.158,0,0.392
16,Donny Hathaway,Come Little Children,soul,sadness,sadness,-7.626,0.7809999999999999,0.861,1,0.685
17,Donny Hathaway,Flying Easy,soul,joy,joy,-10.708,0.726,0.6829999999999999,1,0.544
18,Donny Hathaway,I Love You More Than You'll Ever Know,soul,joy,joy,-15.617,0.21899999999999997,0.19899999999999998,0,0.304
19,Donny Hathaway,Lord Help Me,soul,joy,joy,-7.903,0.523,0.42700000000000005,1,0.419
20,Donny Hathaway,Love love love,soul,joy,joy,-8.71,0.636,0.69,1,0.49700000000000005
21,Donny Hathaway,Magdalena,soul,sadness,joy,-9.523,0.778,0.833,1,0.43799999999999994
22,Donny Hathaway,Someday We'll All Be Free,soul,joy,joy,-11.497,0.413,0.249,1,0.379
23,Elliott Smith,A Distorted Reality is Now a Necessity to be Free,alternative rock,sadness,joy,-9.621,0.441,0.294,1,0.575
24,Elliott Smith,A Passing Feeling,alternative rock,anger,sadness,-8.465,0.52,0.16,0,0.368
25,Elliott Smith,Coast To Coast,alternative rock,anger,anger,-9.802999999999999,0.677,0.174,1,0.183
26,Elliott Smith,Don't Go Down,alternative rock,joy,joy,-8.206,0.583,0.22899999999999998,1,0.17300000000000001
27,Elliott Smith,King's Crossing,alternative rock,joy,anger,-10.027000000000001,0.34299999999999997,0.0589,0,0.395
28,Elliott Smith,Let's Get Lost,alternative rock,joy,sadness,-15.222999999999999,0.337,0.575,0,0.541
29,Elliott Smith,Little One,alternative rock,sadness,fear,-14.704,0.135,0.271,1,0.466
30,Elliott Smith,Memory Lane,alternative rock,anger,sadness,-12.264000000000001,0.35600000000000004,0.484,0,0.613
31,Elliott Smith,Pretty (Ugly Before),alternative rock,joy,joy,-7.707999999999999,0.509,0.19,1,0.48700000000000004
32,Elliott Smith,Shooting Star,alternative rock,joy,sadness,-7.562,0.7979999999999999,0.505,1,0.517
33,Elliott Smith,Strung Out Again,alternative rock,joy,anger,-10.027999999999999,0.36200000000000004,0.212,0,0.45299999999999996
34,Elliott Smith,The Last Hour,alternative rock,sadness,anger,-17.814,0.171,0.27899999999999997,1,0.594
35,Elliott Smith,Twilight,alternative rock,sadness,joy,-13.039000000000001,0.377,0.48700000000000004,1,0.428
36,Germs,American Leather,crossover thrash,sadness,disgust,-7.2860000000000005,0.9490000000000001,0.69,1,0.289
37,Germs,Caught In My Eye,crossover thrash,fear,sadness,-15.743,0.799,0.42200000000000004,0,0.364
38,Germs,Communist Eyes,crossover thrash,disgust,sadness,-8.816,0.895,0.855,1,0.361
39,Germs,Dragon Lady,crossover thrash,sadness,joy,-8.683,0.7759999999999999,0.732,1,0.39899999999999997
40,Germs,Land of Treason,crossover thrash,sadness,sadness,-7.45,0.99,0.461,0,0.45
41,Germs,Let's Pretend,crossover thrash,sadness,anger,-7.776,0.986,0.337,0,0.43
42,Germs,Lexicon Devil,crossover thrash,sadness,joy,-7.468999999999999,0.877,0.821,0,0.504
43,Germs,Manimal,crossover thrash,sadness,joy,-8.354,0.956,0.319,0,0.318
44,Germs,Media Blitz,crossover thrash,sadness,sadness,-11.192,0.8759999999999999,0.721,1,0.44
45,Germs,Our Way,crossover thrash,sadness,anger,-6.882999999999999,0.9520000000000001,0.6920000000000001,1,0.52
46,Germs,Richie Dagger's Crime,crossover thrash,disgust,joy,-8.297,0.9109999999999999,0.5710000000000001,1,0.379
47,Germs,Shut Down,crossover thrash,anger,sadness,-8.007,0.8240000000000001,0.665,0,0.319
48,Germs,Strange Notes,crossover thrash,sadness,sadness,-8.196,0.937,0.679,1,0.245
49,Germs,The Other Newest One,crossover thrash,sadness,joy,-8.228,0.9,0.737,1,0.5720000000000001
50,Germs,The Slave,crossover thrash,disgust,sadness,-8.769,0.9490000000000001,0.574,0,0.361
51,Germs,We Must Bleed,crossover thrash,anger,sadness,-7.587000000000001,0.968,0.256,0,0.295
52,Germs,What We Do Is Secret,crossover thrash,joy,joy,-6.507999999999999,0.816,0.843,1,0.518
53,Gin Blossoms,"Hey, Jealousy",alternative rock,sadness,joy,-7.42,0.785,0.528,0,0.46399999999999997
54,hide,ever free,metal,sadness,fear,-12.474,0.35700000000000004,0.5489999999999999,1,0.609
55,hide,Hurry go round,metal,sadness,sadness,-11.773,0.317,0.7979999999999999,1,0.557
56,hide,Rocket Dive,metal,joy,joy,-13.419,0.374,0.518,1,0.615
57,Jonghyun,#Hashtag,k-pop,anger,disgust,-8.783999999999999,0.46399999999999997,0.652,0,0.86
58,Jonghyun,Before Our Spring,k-pop,joy,fear,-9.517999999999999,0.24600000000000002,0.40399999999999997,1,0.634
59,Jonghyun,Grease,k-pop,sadness,sadness,-3.892,0.779,0.708,1,0.585
60,Jonghyun,Just for a day,k-pop,sadness,sadness,-3.846,0.802,0.36700000000000005,1,0.711
61,Jonghyun,Only One You Need,k-pop,fear,sadness,-3.967,0.799,0.512,0,0.629
62,Jonghyun,Rewind,k-pop,anger,joy,-5.45,0.7490000000000001,0.535,0,0.922
63,Jonghyun,Sentimental,k-pop,sadness,sadness,-5.25,0.635,0.396,0,0.466
64,Jonghyun,Shinin',k-pop,joy,joy,-2.873,0.853,0.731,1,0.741
65,Jonghyun,Sightseeing,k-pop,disgust,disgust,-2.833,0.902,0.7759999999999999,1,0.6759999999999999
66,Jonghyun,Take The Dive,k-pop,joy,joy,-4.114,0.708,0.527,0,0.52
67,Joy Division,A Means to an End,alternative rock,joy,anger,-7.946000000000001,0.7859999999999999,0.752,0,0.655
68,Joy Division,Atrocity Exhibition,alternative rock,sadness,joy,-7.348,0.767,0.787,1,0.565
69,Joy Division,Colony,alternative rock,sadness,joy,-7.292000000000001,0.88,0.8079999999999999,1,0.6
70,Joy Division,Decades,alternative rock,fear,sadness,-9.206,0.5379999999999999,0.436,1,0.5720000000000001
71,Joy Division,Heart and Soul,alternative rock,sadness,joy,-9.817,0.611,0.68,1,0.64
72,Joy Division,Isolation,alternative rock,joy,sadness,-8.12,0.7829999999999999,0.6970000000000001,1,0.544
73,Joy Division,Love Will Tear Us Apart,alternative rock,sadness,joy,-8.662,0.902,0.907,1,0.525
74,Joy Division,Passover,alternative rock,anger,sadness,-11.936,0.5770000000000001,0.941,1,0.773
75,Joy Division,The Eternal,alternative rock,sadness,sadness,-14.043,0.474,0.327,1,0.507
76,Joy Division,Twenty Four Hours,alternative rock,sadness,sadness,-8.955,0.879,0.647,1,0.363
77,Link 80,Better Than Shit,ska,sadness,anger,-9.355,0.828,0.919,0,0.5429999999999999
78,Link 80,For What It's Worth,ska,fear,anger,-9.748,0.47700000000000004,0.302,0,0.423
79,Link 80,No Such Thing,ska,anger,sadness,-8.832,0.856,0.782,1,0.32299999999999995
80,Link 80,Packing Up,ska,sadness,sadness,-8.867,0.943,0.488,1,0.446
81,Link 80,The Truth of It,ska,sadness,anger,-9.482000000000001,0.865,0.5870000000000001,0,0.34
82,Linkin Park,Halfway Right,alternative metal,anger,fear,-7.155,0.626,0.498,0,0.655
83,Linkin Park,Heavy (feat. Kiiara),alternative metal,fear,sadness,-6.098,0.6709999999999999,0.43799999999999994,1,0.59
84,Michael Hutchence,A Straight Line,alternative rock,sadness,sadness,-6.001,0.93,0.722,1,0.7140000000000001
85,Michael Hutchence,All I'm Saying,alternative rock,joy,sadness,-8.357999999999999,0.518,0.40700000000000003,0,0.442
86,Michael Hutchence,Baby It's Alright,alternative rock,fear,joy,-5.4239999999999995,0.9259999999999999,0.685,0,0.718
87,Michael Hutchence,Breathe,alternative rock,joy,sadness,-8.443,0.61,0.409,0,0.52
88,Michael Hutchence,Don't Save Me from Myself,alternative rock,joy,joy,-6.537999999999999,0.8959999999999999,0.39799999999999996,1,0.69
89,Michael Hutchence,Fear,alternative rock,sadness,fear,-7.457999999999999,0.848,0.55,0,0.648
90,Michael Hutchence,Flesh and Blood,alternative rock,sadness,joy,-9.292,0.5,0.354,0,0.418
91,Michael Hutchence,Get on the Inside,alternative rock,sadness,joy,-5.273,0.9059999999999999,0.805,1,0.7170000000000001
92,Michael Hutchence,Let Me Show You,alternative rock,sadness,sadness,-7.097,0.851,0.47700000000000004,0,0.531
93,Michael Hutchence,Possibilities,alternative rock,joy,anger,-7.211,0.684,0.37799999999999995,1,0.531
94,Michael Hutchence,Put the Pieces Back Together,alternative rock,sadness,disgust,-6.252999999999999,0.855,0.436,1,0.69
95,Michael Hutchence,She Flirts for England,alternative rock,joy,sadness,-6.851,0.852,0.623,1,0.519
96,Michael Hutchence,Slide Away,alternative rock,sadness,joy,-9.217,0.608,0.154,1,0.6659999999999999
97,Nirvana,All Apologies,alternative rock,anger,joy,-12.109000000000002,0.621,0.364,1,0.447
98,Nirvana,Dumb,alternative rock,sadness,joy,-13.585,0.39399999999999996,0.845,1,0.695
