Artist,Song Title,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,label
Hozier,Take Me to Church,0.664,17,0.566,0,0.437,0.439396,0.375817,0.020299,0.007911,0.254985,0.058826,0.612138,0.03255,0.036608,0.254663,1
Hozier,Work Song,0.363,17,0.531,1,0.259,0.593174,0.065838,0.401647,0.055395,0.178819,0.103784,0.073793,0.681296,0.065951,0.144745,1
Jakob Dylan,All Day And All Night,0.577,3,0.769,1,0.762,0.15869,0.661768,0.148358,0.009836,0.076841,0.326633,0.4116,0.208873,0.102315,0.070181,1
Jakob Dylan,Down on Our Own Shield,0.3,3,0.63,1,0.264,0.734783,0.031962,0.270687,0.039398,0.17678,0.129657,0.683045,0.115062,0.035718,0.050897,1
Jessie J,Abracadabra,0.834,26,0.822,1,0.788,0.148652,0.601097,0.077618,0.052359,0.050924,0.122332,0.206305,0.217955,0.063404,0.604956,1
Jessie J,Alive,0.694,26,0.694,1,0.85,0.06284,0.830404,0.050559,0.005906,0.02996,0.136567,0.609264,0.04051,0.047431,0.082401,1
Jessie J,Bang Bang,0.789,26,0.703,0,0.761,0.467019,0.130508,0.244814,0.092131,0.25449,0.007273,0.026855,0.043296,7.00E-06,0.000659,1
Jessie J,Domino,0.556,26,0.763,1,0.792,0.443876,0.378141,0.081131,0.014902,0.195409,0.047399,0.798442,0.01528,0.082002,0.034184,1
Jessie J,Price Tag,0.843,26,0.646,1,0.647,0.438362,0.429019,0.088085,0.008541,0.140701,0.081867,0.57229,0.02066,0.17284,0.121186,1
John Lennon,#9 Dream,0.597,3,0.406,1,0.478,0.386646,0.20384,0.469557,0.001705,0.029735,0.386646,0.20384,0.469557,0.001705,0.029735,1
John Lennon,A Day In The Life,0.325,3,0.48,0,0.461,0.421139,0.048218,0.170737,0.363793,0.370004,0.127959,0.63734,0.160088,0.122666,0.052751,1
John Lennon,Imagine,0.257,3,0.547,1,0.169,0.313576,0.599566,0.041026,0.034661,0.051749,0.106839,0.648799,0.113667,0.024638,0.026607,1
John Lennon,Woman,0.656,3,0.588,1,0.746,0.314896,0.543724,0.085196,0.041465,0.05243,0.314896,0.543724,0.085196,0.041465,0.05243,1
Justin Bieber,Company,0.8,1,0.617,0,0.42,0.652746,0.057925,0.171779,0.035192,0.220247,0.090418,0.036785,0.06167,0.028413,0.134177,1
Justin Bieber,Love Yourself,0.376,1,0.607,1,0.545,0.778808,0.009434,0.118103,0.090486,0.29428,0.070351,0.748378,0.037243,0.014355,0.031631,1
Justin Bieber,Sorry,0.768,1,0.605,0,0.414,0.430203,0.002312,0.249443,0.093948,0.556378,0.516664,0.005572,0.183648,0.052385,0.087717,1
Justin Bieber,What Do You Mean,0.571,1,0.837,0,0.801,0.368356,0.279495,0.047184,0.045177,0.188608,0.208582,0.459129,0.159336,0.059463,0.133443,1
Mariah Carey,#Beautiful,0.731,26,0.669,1,0.481,0.064634,0.850331,0.075589,0.008233,0.021132,0.144458,0.435323,0.017468,0.015725,0.399236,1
Mariah Carey,Always Be My Baby,0.531,26,0.649,1,0.488,0.303283,0.669296,0.01228,0.004515,0.009094,0.021652,0.482652,0.161722,0.004481,0.042295,1
Mariah Carey,Obsessed,0.471,26,0.742,1,0.384,0.705684,0.02755,0.247883,0.033094,0.235023,0.231131,0.123996,0.087971,0.145583,0.628113,1
Mariah Carey,Touch My Body,0.666,26,0.716,0,0.864,0.405616,0.302248,0.165993,0.018212,0.06051,0.075106,0.319193,0.02516,0.248498,0.482511,1
Michael Jackson,Beat It,0.867,9,0.779,0,0.915,0.424755,0.146612,0.04217,0.140107,0.491488,0.056254,0.061916,0.032714,0.003217,0.015144,1
Michael Jackson,Billie Jean,0.654,9,0.92,0,0.847,0.194474,0.621611,0.040428,0.006736,0.048805,0.434205,0.121737,0.116084,0.140575,0.198383,1
Michael Jackson,Smooth Criminal,0.981,9,0.853,1,0.595,0.271632,0.139752,0.167708,0.221363,0.457461,0.09407,0.021431,0.155507,0.074033,0.270455,1
Michael Jackson,They Don't Care About Us,0.905,9,0.859,0,0.73,0.340352,0.018792,0.106305,0.352006,0.553881,0.465497,0.009834,0.175905,0.086804,0.17835,1
Miley Cyrus,4x4,0.797,1,0.922,0,0.922,0.633552,0.435815,0.147564,0.150819,0.572423,0.202617,0.239637,0.094718,0.020146,0.10913,1
Miley Cyrus,7 Things,0.893,1,0.599,0,0.591,0.713817,0.013463,0.200238,0.027338,0.328537,0.613893,0.151335,0.081006,0.030912,0.306199,1
Miley Cyrus,Adore You,0.655,1,0.583,1,0.201,0.088541,0.02732,0.94386,0.01806,0.028669,0.390978,0.357566,0.052064,0.006804,0.036264,1
owl city,Fireflies,0.649,27,0.591,1,0.489,0.599916,0.018307,0.408903,0.027734,0.245809,0.595272,0.102359,0.150363,0.009007,0.166218,1
owl city,The Saltwater Room,0.68,27,0.653,1,0.684,0.224934,0.482893,0.366399,0.010497,0.029861,0.417976,0.327418,0.118238,0.027264,0.120046,1
owl city,Vanilla Twilight,0.513,27,0.582,1,0.534,0.759159,0.113715,0.258733,0.005271,0.007563,0.759159,0.113715,0.258733,0.005271,0.007563,1
