Song Title,text
King's Crossing,   The king's crossing was the main attraction Dominos are falling in a chain reaction The scraping subject ruled by fear told me Whiskey works better than beer  The judge is on vinyl decisions are final And nobody gets a reprieve And every wave is tidal If you hang around You're going to get wet    It's Christmas time And the needles on the tree A skinny Santa is bringing something to me His voice is overwhelming But his speech is slurred And I only understand every other word Open your parachute and grab your gun Falling down like an omen a setting sun Read the part and we turn out fine It's a hell of a role if you can keep it alive But I don't care if I fuck up I'm going on a date With a rich white lady Ain't life great? Give me one good reason not to do it (Because we love you) So do it
Let's Get Lost,nan
Little One,   The moonlight tonight Seems to belong to me Cause I Even those who cant sleep (Never go to sleep) They need some company   One hit Wouldn't hurt a bit at all Slow down (Stay down) See whats there to find (See whats there today)  If it's (If its) Good shit you won't know (gonna be) And I won't know (ok) The fact that I'm dying (all done)  If I seem to be reckless with myself It's the fault of no one All things have a place Under the moon As well as the sun
Memory Lane,    The mayor's name is fear His force patrols the pier From a mountain of cliché That advances everyday   The doctor spoke a cloud He rained out loud Youll keep your doors and windows shut And swear you'll never show a soul again but     Uncomfortable apart It's all written on my chart And I take what's given to me Most cooperatively   I do what people say And lie in bed all day Absolutely horrified I hope you're satisfied 
Pretty (Ugly Before),   Sunshine Been keeping me up for days There is no nighttime It's only a passing phase And I feel pretty Pretty enough for you I felt so ugly before I didn't know what to do
Shooting Star,   You'll make the scene Like you always do Going upstream Down the avenue To fuck some trophy boy That you'll win tonight at the bar     When it was me I was momentarily proud Drunk on dreams Now I'm glad I didn't say out loud You said you'd be for real But I don't believe that you are     I'm going to sleep now Going back to find square one Square two be where I can deal with the shit you just done It won't be soon Say the least it's gonna be hard 
Strung Out Again,   You get what you see I saw a rich fuck giving charity Saw an evil emperor Wearing my clothes  They're far from the best But they might suit you better than the rest Just looking in the mirror Will make you a brave man     Was a parliament of owls Fly over a city of canals Floating on the body Floating in the Dalles  You get what you see But some things they just change invisibly I don't know where I'm going And I don't even want to know  
The Last Hour,   Here's the army that you mowed to the ground And the bodies you left lying around Talking it out The last hour I'm through trying now It's a big relief I'll be staying down Where no one else gonna give me grief     Your opinion was the law of the land The single thing that I could always understand I lived it out from hour to hour The only thing that never really changed You ran me all around And dragged me down At the end of the day     I've been thinking of the things that I missed Situations that I passed up for this One-way love I took for hours I'm through trying now It's a big relief I'll be staying down I wasn't good at being a thief 
Twilight,   Haven't laughed this hard in a long time I better stop now before I start crying Go off to sleep in the sunshine I don't want to see the day when it's dying  She's a sight to see (sight to see) she's good to me (good to me) But I'm already somebody's baby She's a pretty thing (pretty thing) and she knows everything (everything) But I'm already somebody's baby
Drowning in Your Eyes,   Feel the ground it's slipping away Like a sigh that greets the close of day Feel the waters welcoming arms Embrace me in their quiet karma I can't hear what you say anymore Just the sound of trees on the ocean floor Irresistibly drawn from the shore    Moving slowly as if in a dream The colors change from blue to green All around me reflections of you In forests deep I'm passing through In the swell of the storm we're as one We're dancing in the morning sun Could it be that we've only just begun    I'm drowning in your eyes I'm floating out to sea Helpless on the restless tide That flows between you and me
Mortal Seed,   From this mortal seed Turning deep inside There's a wound which cannot bleed For the pleasures we have been denied All you want to be only we can decide Try to get ahead but standing Like a statue on the edge You talk about a new direction But the words fly out and disappear High windows shine the light seems like a sign But there's a crowd down there laughing But don't seem to hear Oh it's the same today always just the same as before Can't be the same today step out don't be afraid You've got the right got the right for more
Sad Song,   Back room parlor lonely sits and cries See her with her head in hands But nothing at all in her eyes Always listening for the telephone But it only rings wrong numbers Or whenever she's not at home    Late night cafe's closing on the street He's turning out to hide in doorways Any corner that others sleep Empty bottle spirits he has known A vision of a quiet face Together they look like home    Thinking life would pass him by He opens up his arms to reach for the sky Broken dreams they never came true So now he paints himself a sad song And colors it blue 
American Leather,   Looking for a way out I put my foot out of line Really like to break-out I feel so confined    Saw you on a dark road Brought myself along Got a sense of conflict But I know what's wrong    I know that kinda feeling So I built my place up high But you'll never find me kneeling Cause I'm too occupied
Caught In My Eye,   Though your dark eyes You can feel my Every sin When I walk right Into a straight line This world of yours I got you caught in my eye again    There's a door there That opens Without you And the door lies With its open keys To my room
Communist Eyes,   I'm looking through Communist eyes I'm seeing planes in bloodshot skies I see the flag of a working people Who conceal the lies in the stars And sickle It's a double edge    I'm looking through Communist eyes All I see is an old man's alibi There's a world outside But I'm unaware I open my books but the pages stare It's a double edge
Dragon Lady,   You walk to the temple on the boulevard You know the way in cause you're The son of God She opens the door with A sardonic glance You drop to the floor making your plans     There's something in her eyes That nature denied She's a whirlwind creature of cultural ties A preacher of schemes and self denial She talks up a storm with news and belial    To live in Braham tragedy Driven it seems by fantasies A life like this is sad to see A smile kept quite in reverie The clock on the matle hands stop crossed The rug on the floors a resting place for the dust The talk of the town yet she's never been seen A loving relation with a well trained machine
Land of Treason,   Old hearts gone- The future's on-mother nations mired  I like a recepticle for the chosen dead  We find our bodies clawed  And with the scent of death  We find that we are not so very awed   Loyalties burned- The words our blurred-overturn your own 
Let's Pretend,   That thing in your bed's just another whore That tear in your eyes not a tear at all  For that girl that you touch you could never fall  That stream in your mind it's a tearin' sty      Your leather is tight but you wear it full  'Gether is right but you gotta be cool  You cut your wrists but you don't feel the pain  You change your mind but you still feel the same  To dream ain't your kind just another lie...       Sell us a story that we can believe  Spend your dollars on pills for relief  Love is a future that you still can't see  Standing answers to questions are free  Scream in your boredom life's just to die   Let's pretend you're vicious 
Lexicon Devil,   I want toy tin soldiers that can push and shove I want gun boy rovers that'll wreck this club I'll build you up and level your heads We'll run it my way cold men and politics dead    I'll get silver guns to drip old blood Let's give this established joke a shove We're gonna wreak havoc on this rancid mill I'm searchin' for something even if I'm killed    Empty out your pockets you don't need their change I'm giving you the power to rearrange Together we'll run to the highest prop Tear it down and let it drop away
Manimal,   I crossed the paths of right and wrong - And saw them take their toll I saw armies that marched And like animals they crawled    Evolution is a process too slow To save my soul But I've got this creature on my back And it just won't let go
Media Blitz,   Don't steal your eyes off the TV screen Can you realize we're what we've seen Take an injection from the mad machine Don't read the papers read between the lines We're vision rapers and we seed the signs You'll play your part in the master mind
Our Way,nan
Richie Dagger's Crime,   He sits in his corner like a child despised A crazy sort of cast comes over his eyes- That's Richie Dagger's crime  He's that sort of boy that was never much loved His idea of fun was society's grudge- That's Richie Dagger's crime  His life was such a mess And his friends weren't quite the best But he was satisfied- That's Richie Dagger's crime Suck me in and spit me out Devour me in haste-
Shut Down,   Let me touch the tips of inculcated desire And brush the fettered veil away Shut down in the depths I lay... If you want nothin' then I've got nothin' I'm your annihilation man Lemme get control I've got your minds Now I want Your souls lemme get control I've got your minds Now I want control I need control... If you want somethin' then I've got somethin' I'm your annihilation man...
Strange Notes,nan
The Other Newest One,   I feel your body's close to mine I hear your breath and mine in time I know I'm nothing but it's you that I need I touch your skin and it starts to feed You're not the first you're not the last Another day another crash    Embracing my life between your thighs We will perform in the deadly skies Reducing my mind to endless nights You send my dreams to their demise Realized by your last breath  I take your hair into my hands I pull it tight to fill your demands I feed my body into yours I know it's right cause that's my soul you stir  You're not the first you're not the last Another day another crash
The Slave,   You put your hands together Writhe in the shackle You twist your body round 'Til it starts to crackle You do the slave to the beat Of the neuro-sutra can can...
We Must Bleed,   It's Sunday and the streets aren't clear The traffic's screaming But we can't hear The sounds the metals Driving us mad The sounds the metals Driving us mad The sounds the metals Driving us mad Driving us mad oh Driving us mad We must bleed we must bleed We must bleed we must bleed
What We Do Is Secret,   Standing in the line we're abberations Defects in a defect's mirror And we've been here all the time Real fixations Hidden deep in the furor- What we do is secret-secret!    Licensed to drill with the torch In our lives Walking on shallow water Progressed to the Point of no distinction Dementia of a higher order- What we do is secret-secret!
"Hey, Jealousy",   Tell me do you think it'd be all right If I could just crash here tonight You can see I'm in no shape for driving And anyway I've got no place to go And you know it might not be that bad You were the best I'd ever had If I hadn't blown the whole thing years ago I might not be alone 
Dance On,nan
My Way,   And now the end is near And so I face the final curtain My friends I say it clear I'll state my case of which I'm certain I've loved a life that's full I've travelled each and every highway And more much more than this I did it my way  Regrets I had a few But then again too few to mention I did what I had to do And saw it through without excemption I planned each chattered course Each careful stap along the highway And more much more than that I did it my way   Yes there were times I'm sure you knew When I bit more off then I could chew   But through it all when there was doubt I ate it up and spitt it out I faced it all and I stood tall And did it my way  I've loved I've laughed and cried I've had my fill my share of losing And now as tears subside I find it all so amusing To think I did all that And may I say not in a shy way Oh no oh no not me I did it my way  For what is a man What has he got If not himelf than he has not To say the words he truly feels And not the words of one who kneels The record shows I took the blows And did it my way
So Long,   Now I was lookin' for love In all the wrong places Lookin' for love Starin' into black faces  Now I was tryin' so hard to find love In every corner of the city Lookin' for love All over town
When I Get Home,   When I get home I'm gonna sit on my bed When I get home The feed back in my head When I get home I won't answer the phone    When I get home I knew it ain't no sceen When I get home You knew I take of my skin When I get home I dance around in my doors
Breeding,"   If I say red the bugs insist on yellow If I say right the bugs point east It's unbearable we're indivisible I begin to spew lies  Unable to cross over with just a smile I become a demon child Holding up the thorns even beloved memories become all bloody  No matter how I try to tame the two insects It's water and oil parallel lines that run on forever Appearing unpredictably They whisper in turn  ""That kid is great... break him down"" ""It'll only hurt you - just give up"" Those voices in turn Call out in my head  Those two bugs are growing up inside my body Am I the one who's really being raised?    No matter how I try to tame the two insects It's water and oil parallel lines that run on forever Appearing unpredictably They whisper in turn  In my skull flying around Well matched with me are two insects When they whisper I cannot defy them Am I being raised?"
ever free,"   I've forgotten the season that I dreamt of in my dreams So I try asking that girl When I do you said with a smile ""Can dreams be eaten?""  When I look upon these days that are coming to an end I remember the faded sunny days  The disappearing melodies from the beginning Where did I lose them?"
Hurry go round,   With off season blooms One season flows endlessly into the next The joke plays out again Just like it did on that day  When ivy leaves unnoticed Spread their roots The scene greeting me Slipped away without a sound  I aim for the distance beyond And kick old memories away Not because they're sad But they aren't happy either  To gain wisdom A fleeting moment is never enough It was but an instant of clarity That flashed by me yesterday    Supposing a ripe fruit Were to wither and fall unseen Its sweetly intoxicating fragrance Would still have adorned one season   Ivy will spread I will perish away And a fragment of memory will return to the ground Perhaps to become a flower again Like a merry-go-round & round Let's meet in the spring again  It spins and spins And even the tears and the rain Twinkling from fragments of distant memories Will be swallowed into the sands (2) [outr] Hurry go round even though you may shatter Because it's a fleeting instant before you fall Without waiting for the right moment Spin Hurry merry-go-round Even if life pulls you under Let's meet in the spring again Let's meet in the spring Let's meet in the spring
Leather Face,   With progressive thought attempt to access your interior Your mind in chaos as you access it daily Let's cast away shame and instead aim for success Come on Leather Face!    Even if your physical body aches Cover up your porno soul! Brimming with jealousy you've got an icy demeanor Haven't you had enough Leather Face?    So!! I'd say you've got pride like a cat whiskers        I'll snip it all off! So!! a Nopperabou terrified of mice        That's what you are...Hahaha    There's no redemption once your lies are exposed Trust commits murder suicide with love It's that leather face of yours that's cursed But it's too late now
Pink Cloud Assembly,nan
Pink Spider,"   Ignoring the captured butterfly's desperate plea You glare at the sky ""I didn't hurt because I hated I didn't have wings And the sky was too high"" [verse ""You should use my wings SPIDER You don't know the pain of endless flight And maybe you'll realize one day That you were only flying in the palms of someone else And even dared to call that freedom.""  Couldn't fly with borrowed wings You fall straight down head first    Beyond that barely visible sky Birds heading south ""Let's fly once again Cutting down these threads This time with one's own JET When that cloud passes...""  PINK SPIDER The sky is calling PINK SPIDER PINK SPIDER"
Rocket Dive,   For example somewhere along your journey Your engine goes idle Because of that it's all a waste right? But a situation made of nothing Can be turned into anything So you can go anywhere you want to    No matter how many years we wait We'll be having lots of fun out in space Carry that missile in your heart and let's soar
Better Off,   Now bitches want you to do for what you stuck fucking them to do But doesn't that make her a prostitute She wants me take her out and dine her a candle light But the next day the ho wants to fight About all the time that I'm spending with the homies To me I was better off when I was lonely Or should I say single free to mingle She started tripping the minute that I made her coochie tingle That's when everything change Now when ever I go out she wants a list of names Of people that I'm going to be with Huh but I told that ho don't come with me with that nonsense Now every time I open up my mouth I telling her a lie Me explaining don't even try Because when I get home I don't want a gang of hassle A man's home is suppose to be his castle But then she keeps on tripping Imma cut her loose let her go Cause I'm better off getting me a ho     Bitch I ain't got time for no ass silly games Let a nigga know when you wanna do your own thing It ain't shit to let a ho girl go Because a brother you can't choose your ain't no ho But way back in the day I remember pop's told me Never have a girl that have been with all your homie And shit a look because the girl will find you Where you least expect the ho is right behind you Words from the wise Because my pops had three wives So I see what he saw already through these eyes Should I stay single with a gang of bitches Or should I settle down and clown off my riches They say a good woman makes a man complete But nowadays they fucking every nigga that they meet So Imma stay alone for the fact that I know That I'm better off finding me a ho     My homies don't understand why I never trip When other motherfuckers try to hook up with my bitch The way I see it every take that she was never mine But another ho is a waste of my time I let a nigga rushing the captain strong Cause then I can see what the fuck is going on And if she gets busted there's no need to discuss it It's over with history see you later fuck it The bitch is out on the street Shit packed up and waiting on the concrete You fucked up You gotta go gotta go It's your fault that two went solo So don't try to speak save all your drama And when you get home tell it to your mama Cause Imma just kick it and take it slow I'm better off finding me a ho 
Get Away From Me,   While I was rippin' up shows You were lovin' another man and everybody else knows Doing it in public not being low key I didn't wanna believe it even though one of my homies told me so But i don't think so Because I'm letting you know I'm not letting you go I knew right then that my heart was stuck Should've known right then but I didn't know what was up Cause week after week I would send you skeets For you to go shopping and make payments on your jeep To let you know that you got a good thing A brother went out and bought your punkass a ring Everything was going cool or so it seems You had J sprung livin' in a dream I couldn't see it you lettin' him roll in my car Buying him clothes and treatin' him like a star Until the day the fool needed some kind of bail You pawned the ring to get the stupid sucker out of jail And when I asked you where its at You told me that your ass got jacked Then you introduced the man you said he was your cousin Took him on a trip while I was gone he was all up in your muffin But that ain't nothin' the last thing is the best He took off his jersey and had your name on his chest   [hook] Get away from me Get away from me babe Get away from Get away from Get away from me     Remember way back you told me you'd never say that I never really wanted to be involved with this way back Just love me and relieve me tickle me and tease me Say you'll never leave me do it nice and easy But um you never really seemed to care Or bother when I told you that I'd rather be your lover and ??? So flip and trip in retrospect I lost respect for your hookish ways So baby what's next? Temporary conflict how can it get better I still see the day when you tracked in our Jetta You couldn't hold on cause my grip was loose Change fallin' out my pocket like I'm pouring juice So that's how the story goes You wanna get with another buster cause he buys you clothes Just to get inside I had to chase and hogtie Well look at the fall guy I feel like a small fry Now you back cause you heard that I Got a record coming soon so you just came by to say hi (Nah baby it ain't even like that why you trippin') (Hell nah hold on) Because a brother like Johnny J and one of the peoples that wanna be down with this I feel like breaking your damn neck I'm serious So baby move on before you take my grip before I make the hit And show you no love and straight trip   [hook] Get away from me Get away from me babe Get away from Get away from Get away from me Get away from me Get away from me babe Get away from Get away from
