Artist,Song Title,anger,joy,fear,sadness,surprise
Jonghyun,#Hashtag,0.07480952140000001,0.0630084947,0.0250709616,0.168083474,0.6690275669
Jonghyun,Before Our Spring,0.1854325533,0.2847423851,0.4062101245,0.0789034814,0.0447115004
Jonghyun,Grease,-1,-1,-1,-1,-1
Jonghyun,Just for a day,-1,-1,-1,-1,-1
Jonghyun,Only One You Need,0.6411545277,0.005746063300000001,0.0699038506,0.2774080336,0.0057875589
Jonghyun,Rewind,0.0305171553,0.1237818822,0.7586325407000001,0.0499107242,0.0371576957
Jonghyun,Sentimental,0.1659597754,0.0308384895,0.0570700467,0.6368196011,0.1093120947
Jonghyun,Shinin',0.1362244487,0.41427680850000004,0.2706911564,0.0995282158,0.0792794079
Jonghyun,Sightseeing,0.18307267130000002,0.1181089431,0.1294545531,0.5027612448000001,0.0666026399
Jonghyun,Take The Dive,0.0753968433,0.1622617543,0.3087661266,0.4319713116,0.021604027600000002
Joy Division,A Means to an End,-1,-1,-1,-1,-1
Joy Division,Atrocity Exhibition,-1,-1,-1,-1,-1
Joy Division,Colony,-1,-1,-1,-1,-1
Joy Division,Decades,-1,-1,-1,-1,-1
Joy Division,Heart and Soul,-1,-1,-1,-1,-1
Joy Division,Isolation,-1,-1,-1,-1,-1
Joy Division,Love Will Tear Us Apart,-1,-1,-1,-1,-1
Joy Division,Passover,-1,-1,-1,-1,-1
Joy Division,The Eternal,-1,-1,-1,-1,-1
Joy Division,Twenty Four Hours,-1,-1,-1,-1,-1
Keith Emerson,"The Endless Enigma Suite, Pt. 1",-1,-1,-1,-1,-1
Keith Emerson,"The Endless Enigma Suite, Pt. 2",-1,-1,-1,-1,-1
Kim Kwang-seok,Get Up(with Common Ground),-1,-1,-1,-1,-1
Kim Kwang-seok,Where the Wind Rises(with Hareem),-1,-1,-1,-1,-1
Kingston Wall,Alt-Land-Is,0.3142334223,0.082900241,0.0737499073,0.41491597890000004,0.1142004132
Kingston Wall,Another Piece of Cake,-1,-1,-1,-1,-1
Kingston Wall,For All Mankind,-1,-1,-1,-1,-1
Kingston Wall,"I'm the King, I'm the Sun",0.1770519614,0.1514783502,0.15265174210000002,0.50507164,0.0137462607
Kingston Wall,Party Goes On,0.2471887767,0.07599623500000001,0.1380319595,0.4744077921,0.0643753111
Kingston Wall,Take You to Sweet Harmony,-1,-1,-1,-1,-1
Kingston Wall,The Real Thing,0.1223341897,0.0741527081,0.0306701064,0.7124047279,0.0604382828
Kingston Wall,Time,-1,-1,-1,-1,-1
Kingston Wall,Welcome to the Mirrorland,-1,-1,-1,-1,-1
Link 80,Better Than Shit,0.202063024,0.1726274192,0.2876165509,0.22992458940000002,0.1077683866
Link 80,For What It's Worth,0.1770224273,0.18358637390000002,0.1956104934,0.2363044322,0.207476303
Link 80,No Such Thing,-1,-1,-1,-1,-1
Link 80,Packing Up,-1,-1,-1,-1,-1
Link 80,The Truth of It,-1,-1,-1,-1,-1
Linkin Park,Halfway Right,-1,-1,-1,-1,-1
Linkin Park,Heavy (feat. Kiiara),-1,-1,-1,-1,-1
Material Issue,A Very Good Thing,-1,-1,-1,-1,-1
Material Issue,Kim the Waitress,-1,-1,-1,-1,-1
Material Issue,She's Goin' Thru My Head,-1,-1,-1,-1,-1
Michael Hutchence,A Straight Line,-1,-1,-1,-1,-1
Michael Hutchence,All I'm Saying,0.0739360154,0.20576861500000002,0.4737050533,0.19990336890000002,0.0466869995
Michael Hutchence,Baby It's Alright,0.6770207882,0.0114909364,0.0537224114,0.2474651784,0.010300654900000001
Michael Hutchence,Breathe,-1,-1,-1,-1,-1
Michael Hutchence,Don't Save Me from Myself,-1,-1,-1,-1,-1
Michael Hutchence,Fear,0.2822833061,0.0693771839,0.3102872074,0.2406286597,0.0974236727
Michael Hutchence,Flesh and Blood,-1,-1,-1,-1,-1
Michael Hutchence,Get on the Inside,0.3801808357,0.0893362463,0.2185320258,0.2554603219,0.0564905889
Michael Hutchence,Let Me Show You,-1,-1,-1,-1,-1
Michael Hutchence,Possibilities,-1,-1,-1,-1,-1
Michael Hutchence,Put the Pieces Back Together,-1,-1,-1,-1,-1
Michael Hutchence,She Flirts for England,0.1042641103,0.1124224067,0.1894271076,0.5388138294,0.055072557200000004
