Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse
Jonghyun,Only One You Need,0.602714,0.443604,0.734631,0.076049,0.155717
Jonghyun,Rewind,0.40222,0.155323,0.106365,0.129934,0.430826
Jonghyun,Sentimental,0.779903,0.027967,0.323393,0.053784,0.038872
Jonghyun,Shinin',0.091363,0.584091,0.283291,0.018138,0.009844
Jonghyun,Sightseeing,0.111728,0.052887,0.313691,0.475199,0.399097
Jonghyun,Take The Dive,0.383619,0.543914,0.076947,0.009795,0.024031
Joy Division,A Means to an End,0.199087,0.391618,0.149534,0.33472,0.089411
Joy Division,Atrocity Exhibition,0.513933,0.053594,0.30029,0.332615,0.148838
Joy Division,Colony,0.700223,0.008827,0.422451,0.061316,0.114608
Joy Division,Decades,0.451679,0.00902,0.609453,0.091461,0.191714
Joy Division,Heart and Soul,0.441523,0.210764,0.296269,0.026896,0.254974
Joy Division,Isolation,0.114335,0.73653,0.124341,0.039447,0.035512
Joy Division,Love Will Tear Us Apart,0.567964,0.026329,0.126216,0.407658,0.217111
Joy Division,Passover,0.392831,0.027068,0.200555,0.12222,0.606296
Joy Division,The Eternal,0.529145,0.428521,0.026457,0.011597,0.077992
Joy Division,Twenty Four Hours,0.730552,0.190255,0.106638,0.010328,0.088179
Keith Emerson,"The Endless Enigma Suite, Pt. 1",0.44162,0.011451,0.091995,0.422428,0.418972
Keith Emerson,"The Endless Enigma Suite, Pt. 2",0.622161,0.20448,0.222568,0.010998,0.107276
Kim Kwang-seok,Get Up(with Common Ground),0.586045,0.12862,0.095394,0.319971,0.092836
Kim Kwang-seok,Where the Wind Rises(with Hareem),0.061125,0.777199,0.125988,0.01684,0.057154
Kingston Wall,Alt-Land-Is,0.465284,0.281263,0.183523,0.078637,0.125565
Kingston Wall,Another Piece of Cake,0.58534,0.073866,0.138006,0.192299,0.305053
Kingston Wall,For All Mankind,0.459308,0.434884,0.054538,0.017946,0.09462
Kingston Wall,"I'm the King, I'm the Sun",0.109941,0.407991,0.064153,0.05587,0.185769
Kingston Wall,Party Goes On,0.590815,0.147351,0.23483,0.017214,0.201182
Kingston Wall,Take You to Sweet Harmony,0.223336,0.640638,0.07597,0.072357,0.049433
Kingston Wall,The Real Thing,0.240363,0.663135,0.061972,0.026975,0.033884
Kingston Wall,Welcome to the Mirrorland,0.235701,0.34223,0.312909,0.078242,0.131058
Link 80,Better Than Shit,0.802131,0.032898,0.074154,0.050223,0.264396
Link 80,For What It's Worth,0.195664,0.191159,0.601323,0.081433,0.545755
Link 80,No Such Thing,0.473948,0.576551,0.066009,0.577431,0.612862
Link 80,Packing Up,0.519656,0.351685,0.178429,0.028876,0.088936
Link 80,The Truth of It,0.831015,0.00617,0.258672,0.089908,0.088225
Linkin Park,Halfway Right,0.366812,0.006704,0.442687,0.084156,0.490585
Linkin Park,Heavy (feat. Kiiara),0.389226,0.081558,0.42996,0.052079,0.382186
Material Issue,A Very Good Thing,0.495735,0.218762,0.201588,0.05049,0.24625
