Song Title,text
Runaway,  I'm a-walkin' in the rain Tears are fallin' and I feel the pain Wishin' you were here by me To end this misery And I wonder I wah-wah-wah-wah-wonder Why Why why why why why she ran away And I wonder A-where she will stay-ay My little runaway Run run run run runaway    I'm a-walkin' in the rain Tears are fallin' and I feel the pain Wishin' you were here by me To end this misery I wonder I wah-wah-wah-wah-wonder Why Why why why why why she ran away And I wonder A-where she will stay-ay My little runaway
Come Little Children,  Come little children I'll take thee away Into a land of enchantment Came little children the time's come to play Here in my garden of shadows   Come little children I'll take thee away into a land of enchantment Came little children the time's come to play Here in my garden of shadows Uh Uh Uh...
Flying Easy,  We're flying easy and we do just what we please we drink the breezes as we drink wineand the nectar is sweet Now the feeling we have is fun  We're flying easy drifting on a summer breeze The trip is smooth and we gently glide We ride the rainbow and we see to a tee how happy we can be  We gather gold from the evening sun And it's heavenly hues And we don't have a thing to lose  We're flying easy and we do just what we choose
I Know It's You,  No I ain't got nobody else in mind I know it's you No I ain't got nobody else in mind I know it's you
I Love You More Than You'll Ever Know,  Is that anyway for a man to carry on Do you think I want my loved one gone Said I love you More than you'll ever know More than you'll ever know   Is that any way for a man to carry on Do you think I want my loved one gone Said I love you More than you'll ever know Heyyah More than you'll ever know
Lord Help Me,nan
Love love love,  Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face   Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face   Aww baby you make me fall in love with you now I don't know just what I'm gonna do Aww honey I looked out into empty space and all I saw was your sweet face
Magdalena,  Oh Magdalena Nothing like the saint you are Your love is like a razor My heart is just a-scar Oh Magdalena Nothing like the saint you are    Oh Magdalena Nothing like the saint you are Your love is like a razor My heart is just a-scar Oh Magdalena Nothing like the saint you are    Oh Magdalena Nothing like the saint you are Your love is like a razor My heart is just a-scar Oh Magdalena Nothing like the saint you are
Someday We'll All Be Free,  Take it from me someday we'll all be free Hey just wait and see some day we'll all be free yeah Take it from me someday we'll all be free It won't be long take it from me someday we'll all be free Take it from me take it from me take it from me...
A Distorted Reality is Now a Necessity to be Free,  Shine on me baby because it's raining in my heart
A Passing Feeling,  Still i send all the time My request for relief Down the dead power line Though I'm beyond belief  In the help I require Just to exist at all Took a long time to stand Took an hour to fall    Still i send all the time My request for relief Down the dead power line Though I'm beyond belief  In the help I require Just to exist at all Took a long time to stand Took an hour to fall
Coast To Coast,  If you can't help it then just leave it alone Leave me alone (Leave me alone) Yeah just forget it It's really easy I'll just forget it too Coast to coast (Coast to coast) Coast to coast (Coast to coast) I'll do what I can so you can be what you do Coast to coast (Coast to coast) Coast to coast (Coast to coast) I'll do everything I can so you can be what you do Coast to coast Coast to coast
Don't Go Down,  Don't go down Don't go down Stay with me Baby stay    Don't go down Don't go down Stay with me Baby stay Don't go down Don't go down Stay with me Baby stay    Don't go down Don't go down Stay with me Baby stay
King's Crossing,  I can't prepare for death any more than I already have All you can do now is watch the shells The game looks easy that's why it sells Frustrated fireworks inside your head Are going to stand and deliver talk instead The method acting that pays my bills Keeps the fat man feeding in Beverly Hills I got a heavy metal mouth that hurls obscenity And I get my check from the trash treasury Because I took my own insides out
Let's Get Lost,  I had true love I made it die I pushed her away She said please stay Burning every bridge that I cross To find some beautiful place to get lost To find some beautiful place to get lost
Little One,  I can hear you asleep Changing your shape Dissolved in some dream As a new one appears To take you along Where you've never been
Memory Lane,  Isolation Pulled you passed A tunnel to a bright World where you can Make a place to stay  But everybody's scared of this place They're staying away Your little house on memory lane    Isolation Pushes you til Every muscle aches Down the only road It ever takes  But everybody's scared of this place They're staying away Your little house on memory lane    Isolation Pushes past self-hatred Guilt and shame To a place where suffering is Just a game  But everybody's scared of this place They're staying away Your little house on memory lane Your little house on memory lane 
Pretty (Ugly Before),  Sunshine Been keeping me up for days There is no nighttime Only a passing phase And I'll feel pretty Another hour or two 
Shooting Star,nan
Strung Out Again,  I know my place Hate my face I know how I begin And how I'll end Strung out again    I know my place Hate my face I know how I begin And how I'll end Strung out again 
The Last Hour,  Mess me around Just make it over    Don't keep me around Just make it over     More like a clown Make it over
Twilight,  You don't deserve to be lonely But those drugs you got won't make you feel better Pretty soon you'll find it's the only Little part of your life you're keeping together  I'm nice to you (nice to you) I could make it through (make it through) But you're already somebody's baby I could make you smile (make you smile) if you stayed a while (stayed a while) But how long will you stay with me baby?  Because your candle burns too bright Well I almost forgot it was twilight Even if I think that you are right Well I'm tired of being down I got no fight
Drowning in Your Eyes,  I'm drowning in your eyes I'm floating out to sea Helpless on the restless tide That flows between you and me   I'm drowning in your eyes I'm floating out to sea Helpless on the restless tide That flows between you and me   I'm drowning in your eyes I'm floating out to sea Helpless on the restless tide That flows between you and me   I'm drowning in your eyes I'm floating out to sea Helpless on the restless tide That flows between you and me
Mortal Seed,  Shadows sleep coiled in the hand Cast from distant fires Tired eyes so dry So full of sand Just remember that you won't take it You won't take anymore Please don't take it Turn around and reach out to the shore   Shadows sleep coiled in the hand Cast from distant fires Tired eyes so dry So full of sand Just remember that you won't take it You won't take anymore Please don't take it Turn around and reach out to the shore
Sad Song,  Thinking life would pass her by She opens up her arms to reach for the sky Broken dreams they never came true So now she paints herself a sad song And colors it blue
American Leather,  American leather The poinsous members Not alone-not together Their American leather   American leather The poinsous members Not alone-not together Their American leather   American leather The poinsous members Not alone-not together Their American leather   American leather The poinsous members Not alone-not together Their American leather
Caught In My Eye,  You're the fall guy In the corner Of my gloom It feels like Everything I see Is nothing new I got you caught in my eye again
Communist Eyes,  Communist eyes-c'mon inside I can't ever find the way out Communist eyes-lost inside I never get a day out   Communist eyes-all so blind I can't even play the game now
Dragon Lady,  It's a real cool parody That's my dragon lady In a low society with no variety She lives a tongue on cheek dream   It's a real cool parody That's my dragon lady In a low society with no variety She lives a tongue on cheek dream   It's a real cool parody That's my dragon lady In a low society with no variety She lives a tongue on cheek dream 
Land of Treason,  You wear a cost of sewage- That you've never ever seen   The time is now-the vicious here- A stolen dinner code  The license of the savage land- That you've always sold  So bite the hand that needs you  And bless another coal  The virus never issues- From a cotton so very old  As the lights come down  You wash your hands and start to climb  The ladder that you stole  Slip the hatch-and spin the sword- The money lords are poor  Push the tan-that rolls downhill- Their sense of dream absorbed  Still the cat that breaks the night- Tie him to the core  Chase the viruses that believe- That what's right is scored  It's a senseless cash in of right for right- What's wrong is never gone  And left is just a bastion for the fools  Golden dawn
Let's Pretend,  Let's pretend you're vicious  Let's pretend you're cool  Let's pretend suspicious  Let's pretend you're fools     Let's pretend you're vicious  Let's pretend you're cool  Let's pretend suspicious  Let's pretend you're fools    Let's pretend you're cool  Let's pretend suspicious  Let's pretend you're fools  
Lexicon Devil,  I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that   I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that   I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that   I'm a lexicon devil with a battered brain And I'm lookin' for a future the world's my aim So gimme gimme your hands gimme gimme your minds So gimme gimme your hands gimme gimme your minds Gimme gimme this gimme gimme that
Manimal,  I came into this world like a puzzled panther Wanting to be caged But something stood in the way I was never quite tamed   I came into this world like a puzzled panther Wanting to be caged But something stood in the way I was never quite tamed
Media Blitz,  I've got television I've got supervision No decisons for you Media blitz-media blitz Immediate hits-we rule   I've got television I've got supervision No decisons for you Media blitz-media blitz
Our Way,  Down in the crowd we're down On our knees Wanna get out but Don't wanna succeed We're the red-eyed legends Of the night before We're the dead mind babies Of the T.V. war-
Richie Dagger's Crime,  I'm Richie Dagger I can stomp and swagger I can take on all your heroes I'm Richie Dagger I'm young and i'm haggard The boy that nobody owns    I'm Richie Dagger I can stomp and swagger I can take on all your heroes I'm Richie Dagger I'm young and i'm haggard The boy that nobody owns   He could set your mind ablaze With sparkling eyes and visionary case He stood like a remnant from an outbreak past Wore something in his ear And boy was he sass-   I'm Richie Dagger I can stomp and swagger I can take on all your heroes I'm Richie Dagger I'm young and i'm haggard The boy that nobody owns
Shut Down,nan
Strange Notes,nan
The Other Newest One,  My eyes meet yours in secret glance Our bodies look in ancient stance You whisper something and I know it's good You're acting crazy just like I knew you would  You're not the first you're not the last Another day another crash
The Slave,  You're lashed 'twixt the stars With your ice and motor cars You do the slave to the beat Of the neuro-sutra can can Oh yea! Yea! Pull out the zen I've got a Buddhist principle in my hand Your life seems wasted your bodies laced in Don't stop now you've got to trace it...
We Must Bleed,  The crash as the bottle breaks Flashes it will through my veins The pain the colors Making me sane The pain the colors Making me sane The pain the colors Making me sane The pain the colors Making me sane We must bleed we must bleed We must bleed we must bleed 
What We Do Is Secret,  We're influential guys for the D.C.C We can lie so perfect And we've got a party line To every call It's a very short circuit- What we do is secret-secret!
"Hey, Jealousy",  Tomorrow we can drive around this town And let the cops chase us around The past is gone but something might be found To take its place...hey jealousy Hey jealousy Hey jealousy Hey jealousy   Tomorrow we can drive around this town And let the cops chase us around The past is gone but something might be found To take its place...hey jealousy Tomorrow we can drive around this town And let the cops chase us around The past is gone but something might be found To take its place...hey jealousy Hey jealousy Tell me do you think it'd be all right If I could just crash here tonight You can see I'm in no shape for driving And anyway I've got no place to go And you know it might not be that bad You were the best I'd ever had If I hadn't blown the whole thing years ago I might not be alone    Tomorrow we can drive around this town And let the cops chase us around The past is gone but something might be found To take its place...hey jealousy  Hey jealousy She took my heart Well there's only one thing I couldn't start
Dance On,  When everything around you turns to shit And all your friends have split All your lovers have gone From this - to a life of bliss  I don't deserve to die stinkin' like this I don't deserve to die stinkin' like this  Though she's gone I dance on Though she's gone I dance on   When everything around you turns to shit And all your friends have split All your lovers have gone from this To a life of bliss  I don't deserve to die stinkin' like this I don't deserve to die stinkin' like this  Though she's gone I dance on Though she's gone I dance on   I don't deserve to die stinkin' like this I don't deserve to die stinkin' like this  Though she's gone I dance on Though she's gone I dance on (I dance on)
My Way,nan
So Long,  Took me so long - (so long) So long (so long) Before I met you Took me so long - (so long) So long (so long) To get you  It took me so long - (so long) Too long (so long) To get close to you Took me so long - (so long) So long (so long) Now I'm tryin' to forget you   Took me so long - (so long) (so long) Starin' into the black faces  So long - (so long) So long - (so long)  Lookin' (so long) for love (so long) In all the wrong places (so long) (so long)
When I Get Home,  When I get home I'm gonna touch your hair When I get home I'm gonna touch you there When I get home I'll be on top of you   When I get home I'm gonna see my girls When I get home I'm gonna buy them a toy When I get home There gonna jump with joy
Breeding,  Breed you treat me. I'll go on walking with the insects Breed you treat me. Destroying demons on the way Breed you treat me. We'll go on walking down this road Breed you treat me. If the insects disappear I'll disappear too  Hey master!! We've been inside you! Hey master!! Don't fuck with us! Hey busters!! You've been inside me! Hey busters!! Don't fuck with me!   Breed you treat me. I'll go on walking with the insects Breed you treat me. Destroying demons on the way Breed you treat me. We'll go on walking down this road Breed you treat me. If the insects disappear I'll disappear too  Hey master!! We've been inside you! Hey master!! Don't fuck with us! Hey busters!! You've been inside me! Hey busters!! Don't fuck with me!
ever free,  Your dreams were called nonsensical And the continuations to them are trembling in your heart Ever free your story seems to be collapsing If you could imagine it could your dream be seen?   Your freedom was called nonsensical You're sleeping with your wings closed Ever free piercing through this night If you wake up will you be able to fly freely?  Ever free where are you free? Ever free
Hurry go round,  Just like on a Merry-go-round I forget my pains and continue around Unable to find my destination Still I go on
Leather Face,  Take off your LEATHER FACE My dear LEATHER FACE Come on Leather Face! Peel off your leather mask!   So!! scrape up piece back together        Your shattered dreams So!! churn out all the rubbish arguments you want        You're but a fake Leather Face  Good bye LEATHER FACE My dear LEATHER FACE Bye bye bye LEATHER FACE Take off your LEATHER FACE  Take off your LEATHER FACE Good bye LEATHER FACE Take off your LEATHER FACE Take off your LEATHER
Pink Cloud Assembly,  A gentle rain embraces you Soon you will ascend into the sky The snow colored clouds take the pink color of cherry trees It takes you away under that endless sky In the cage that is called freedom
Pink Spider,"  PINK SPIDER ""I wanna go there"" PINK SPIDER ""I wish I had wings...""   PINK SPIDER ""It's no good"" PINK SPIDER ""But I can see the sky..."" PINK SPIDER ""It's a failure"" PINK SPIDER ""I wish I had wings..."""
Rocket Dive,  Speed freaks baby rocket dive Your off-kilter rocket A high-speed trip starts with a quick spark And so speed freaks baby rocket dive Even in silence the sun rises Say adios to those yesterdays filled with waiting   Speed freaks baby rocket dive I want to get on board before it rusts And when it flies it's the perfect rocket Come on space age baby rocket dive Bungee-dive in a place that can't be seen   Speed freaks baby rocket dive I want to fly to a place that can't be seen Your high-speed self starts quick a quick spark Come on speed freaks baby rocket dive Spread your wings and you can fly Say adios to those yesterdays filled with waiting
Better Off,nan
Get Away From Me,nan
I'm a Better Man,nan
Love's the Way,nan
Something She Can Feel,nan
Why You Want Me Now,nan
#Hashtag,  Eat a waffle you try it too try eating the bad comments Theyre dating Thats what they say My friends cousins seniors friends in-laws saw Thats what they say Those two fought Thats what they say They flipped the place over turned it inside out and it was crazy Never mind if its not true   Eat a waffle you try it too try eating the bad comments Theyre dating Thats what they say My friends cousins seniors friends in-laws saw Thats what they say Those two fought Thats what they say They flipped the place over turned it inside out and it was crazy Never mind if its not true   Eat a waffle Four crosses on it have faith Yes #hashtag Put your name in it and while you stay in bed (search search) Its there growing all around the room Theyre dating but I dont really care People are going crazy   Eat a waffle you try it too try eating the bad comments Theyre dating Thats what they say My friends cousins seniors friends in-laws saw Thats what they say Those two fought Thats what they say They flipped the place over turned it inside out and it was crazy Never mind if its not true
Before Our Spring,  I know this sounds foolish But Im afraid to go to you Even if you dont understand Its alright its alright Because theres still a lot of time Before spring will come   I know this sounds foolish But Im afraid to go to you Even if you dont understand Its alright its alright Because theres still a lot of time Before spring will come
Grease,  Throwing away my memories Throwing away everything you gave me Because its already been long since it lost meaning Now go away cuz I wanna erase you go away  Throwing away my memories Throwing away everything you gave me Because its already been long since it lost meaning Now go away cuz I wanna erase you go away   i want to clean it up (clean it up) I want to fix it up (fix it up) Lets say this never happened Lets say this never happened  Throwing away my memories Throwing away everything you gave me Because its already been long since it lost meaning Now go away cuz I wanna erase you go away  Throwing away my memories Throwing away everything you gave me Because its already been long since it lost meaning Now go away cuz I wanna erase you go away   Throwing away my memories Throwing away everything you gave me Because its already been long since it lost meaning Now go away cuz I wanna erase you go away
Im So Curious,  What would it feel like? If I met eyes with you? What would it feel like? If I held hands with you? What would it feel like? If I kissed your lips? Im so curious (curious curious yeah yeah)   What would it feel like? If I met eyes with you? What would it feel like? If I held hands with you? What would it feel like? If I kissed your lips? Im so curious (curious curious yeah yeah)   What would it feel like? If I met eyes with you? What would it feel like? If I held hands with you? What would it feel like? If I kissed your lips? Im so curious (curious curious yeah yeah)
Just for a day,  Just for a day oh Just for a day oh oh oh oh Just for a day please I wish you were dead Just for a day oh just for a day   Just for a day oh Just for a day oh oh oh oh Just for a day please I wish I came back to life in your day Just for a day oh just for a day  Just for a day   Just for a day oh Just for a day oh oh oh oh Just for a day please I wish we were together Just for a day oh just for a day
Only One You Need,  Im the only one who can afford you. Only one you need (need) Only one you need (need) The only one you need (need)   Im the only one who can afford you. Only one you need (need) Only one you need (need)   I wanna be I wanna be the only one The only one you need yeah You and I a piece that I disappeared (I wanna be) I wanna be the only one
Rewind,  Rewind rewind rewind Rewind rewind rewind rewind One two three rewind 1 2 3 again Eins zwei drei wieder (rewind) Un deux trois encore (rewind)   Rewind rewind rewind Rewind rewind rewind rewind One two three rewind 1 2 3 again One two three Uno dos tres de nuevo (rewind) (Rewind) Rewind rewind rewind Rewind rewind rewind rewind One two three rewind 1 2 3 again Eins zwei drei wieder (rewind) Un deux trois encore (rewind) One two three rewind 1 2 3 again One two three Uno dos tres de nuevo (rewind)
Sentimental,  Im feeling sentimental Im feeling sentimental Without you my room is empty Im feeling sentimental Feels like yesterday you were laying Only a few centimeters away from me Im feeling sentimental in this room without you   Im feeling sentimental Im feeling sentimental Without you my room is empty Im feeling sentimental Feels like yesterday you were laying Only a few centimeters away from me Im feeling sentimental in this room without you
Shinin',  Make it grow more cozy Baby That's your location Oh somebody call me I'm built right next to you. We're like twins. Oh girl Baby come in Always be with you (Baby come in) Always be with you Baby come in be there with you (Baby come in) Always be with you (Yeah yeah) Hold me tight (Yeah yeah)   Make it grow more cozy Baby That's your location Oh somebody call me I'm built right next to you. We're like twins. Oh girl Baby come in  Always be with you (Baby come in) Always be with you Baby come in be there with you (Baby come in) Always be with you (Yeah yeah) Hold me tight (Yeah yeah)
Sightseeing,  Hey look up its dangerous All those people gathering around the bus station Its so gross like a frowning cats face  Where is everyone going? Where is their destination? Im curious where are you going? They look miserable like theyre being dragged Their faces their legs look so heavy babe  whoa (whoa) look at him (look at him) Wheres he going (wheres he going) take me with you whoa (whoa) look at him (look at him) Wherere you going (wherere you going) take me with you  Whoa doo loo doo doo doo Doo loo doo doo doo take me with you Whoa doo loo doo doo doo Doo loo doo doo doo take me with you   Hey look up its dangerous All those people gathering around the bus station Its so gross like a frowning cats face  Where is everyone going? Where is their destination? Im curious where are you going? They look miserable like theyre being dragged Their faces their legs look so heavy  whoa (whoa) look at him (look at him) Wheres he going (wheres he going) take me with you whoa (whoa) look at him (look at him) Wherere you going (wherere you going) take me with you  Whoa doo loo doo doo doo Doo loo doo doo doo take me with you Whoa doo loo doo doo doo Doo loo doo doo doo take me with you Whoa whoa whoa whoa  whoa (whoa) look at him (look at him) Wheres he going (wheres he going) take me with you whoa (whoa) look at him (look at him) Wherere you going (wherere you going) take me with you
Take The Dive,  take the dive Take the dive (woo woo woo) Take the dive (woo)   Take the dive Take the dive (woo woo woo) Take the dive (woo)   Would you take the dive Would you take the dive Would you take the dive   Take the dive Take the dive (woo woo woo) Take the dive (woo)
A Means to an End,  I always looked to you I always looked to you I always looked to you    I put my trust in you I put my trust in you I put my trust in you    I put my trust in you I put my trust in you I put my trust in you I put my trust in you In you. In you. In you Put my trust in you in you
Atrocity Exhibition,  This is the way step inside This is the way step inside This is the way step inside This is the way step inside    This is the way step inside This is the way step inside This is the way step inside This is the way step inside This is the way this is the way This is the way this is the way This is the way step inside This is the way step inside This is the way step inside This is the way step inside     This is the way step inside This is the way step inside This is the way step inside This is the way step inside 
Colony,nan
Decades,  Where have they been? Where have they been? Where have they been? Where have they been?    Where have they been? Where have they been? Where have they been? Where have they been?
Heart and Soul,  Heart and soul one will burn Heart and soul one will burn    Heart and soul one will burn Heart and soul one will burn     Heart and soul one will burn Heart and soul one will burn One will burn one will burn Heart and soul one will burn
Isolation,  Isolation Isolation Isolation    Isolation Isolation Isolation     Isolation Isolation Isolation Isolation Isolation
Love Will Tear Us Apart,  Then love love will tear us apart again Love love will tear us apart again    But love love will tear us apart again Love love will tear us apart again    Then love love will tear us apart again Love love will tear us apart again Then love love will tear it apart again Love love will tear it apart again
Passover,nan
The Eternal,nan
Twenty Four Hours,nan
"The Endless Enigma Suite, Pt. 1",   Please please please open your eyes Please please please don't give me lies     Please please please open your eyes Please please please don't give me lies 
"The Endless Enigma Suite, Pt. 2",nan
Get Up(with Common Ground),  stand up stand up we're going to try again once more stand up stand up like spring's new sprouts    stand up stand up we're going to try once more stand up stand up like spring's new sprouts  living life lightly is eventually binding yourself up even if the world ignores me i will have to live be living as beautiful as the flower is it wilts all the more faster even the dew drops that used to be clear when the sunlight shone on it it dries up in a moment  [choris] stand up stand up we're going to try once more stand up stand up like spring's new sprouts stand up stand up we're going to try once more stand up stand up like spring's new sprouts
Where the Wind Rises(with Hareem),  Although itâs an unstable happiness that I anticipate yet fear; Although there will be days when the sky we look at and the people we see  Will be hard on us; For our new dreams Go to the place where the wind blows. Iâm going to that place.  The place where the sun dazzles Iâm going to that place. As I let myself follow the winds Iâm going to that place.
Alt-Land-Is,  Alt-land-is All land's ice  As the Gulf stream came to heat south Finland Odenmaa remained clear of ice and the Asers learned A new way of life  Agriculture and new animal species were created for Staying alive for 50 milj. years surrounded by huge Icebergs  As the ice started to melt and drown Odenmaa the Very few of them left took pairs of the animals with Them and sailed through a passage way melted by the Stream to Bockland an island outside of Sweden Later named Goatland (Gotland).  After staying there for a thousand years the Asers Headed back to Odenmaa except SVEN and DAN Who went to Sweden and Denmark to rehabite the ringlands.  During ALTLANDIS the Vaners developed into ten Different races mythologies and languages outside The icebergs  The Asers lived in Odenmaa again till the year 1050 When the crusader army sent by the Pope Destructed Odenmaa and created a new information System based on the written word not spoken as it Used to be
