Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence
Paramore,Hard Times,119.965,-5.379,0.818,28,0.695,0,0.9159999999999999
Paramore,Rose-Colored Boy,114.99700000000001,-4.904,0.826,28,0.768,1,0.9259999999999999
Paramore,Still Into You,136.01,-3.763,0.9229999999999999,28,0.602,1,0.765
Radiohead,All I Need,88.005,-8.709,0.47700000000000004,10,0.6679999999999999,0,0.0966
Radiohead,Burn the Witch,148.937,-6.52,0.847,10,0.541,1,0.62
Radiohead,Creep,91.84100000000001,-9.935,0.43,10,0.515,1,0.10400000000000001
Radiohead,House of Cards,111.662,-9.638,0.496,10,0.71,1,0.637
Radiohead,True Love Waits,136.186,-15.569,0.132,10,0.282,1,0.0379
Rihanna,Diamonds,91.98200000000001,-4.928,0.7090000000000001,26,0.555,0,0.387
Rihanna,Loveeeeee Song,119.88,-17.699,0.251,26,0.762,0,0.529
Rihanna,Stay,111.927,-10.146,0.324,26,0.619,0,0.0965
Rihanna,Wild Thoughts,97.62100000000001,-3.089,0.6809999999999999,26,0.613,1,0.619
Rihanna,Work,91.296,-6.294,0.5379999999999999,26,0.667,1,0.527
Secondhand Serenade,Awake,88.919,-11.943,0.239,29,0.591,1,0.34600000000000003
Sia,Big Girls Cry,161.996,-4.962,0.5920000000000001,30,0.469,1,0.0938
Sia,Burn the Pages,180.081,-4.645,0.8109999999999999,30,0.507,1,0.45899999999999996
Sia,Chandelier,117.089,-2.88,0.787,30,0.39899999999999997,1,0.5720000000000001
Taylor Swift,Blank Space,95.979,-5.4479999999999995,0.684,20,0.7509999999999999,1,0.597
Taylor Swift,Delicate,95.022,-10.212,0.41,20,0.745,0,0.0596
Taylor Swift,Style,95.036,-5.56,0.8,20,0.594,1,0.473
Taylor Swift,This Love,72.817,-8.892000000000001,0.428,20,0.33299999999999996,1,0.09699999999999999
Taylor Swift,Welcome to New York,117.015,-4.7330000000000005,0.626,20,0.79,1,0.664
The Script,Arms Open,175.958,-5.638,0.5539999999999999,31,0.513,1,0.722
The Script,Army of Angels,93.971,-6.604,0.578,31,0.48,1,0.127
Usher,I Don't Mind,112.97399999999999,-8.337,0.46399999999999997,32,0.87,1,0.457
Usher,My Boo,86.412,-8.238,0.507,32,0.662,1,0.6759999999999999
Usher,You Make Me Wanna,164.088,-7.577000000000001,0.639,32,0.7609999999999999,0,0.922
ZAYN,BeFoUr,102.005,-7.981,0.629,1,0.679,0,0.18600000000000003
ZAYN,BLUE,184.171,-13.235,0.184,1,0.222,1,0.156
ZAYN,BoRdErZ,90.96799999999999,-19.259,0.147,1,0.602,0,0.0393
ZAYN,BRIGHT,118.161,-9.06,0.45799999999999996,1,0.504,0,0.41600000000000004
