,Artist,Song Title,Genre,verse_emotion,chorus_emotion,Tempo,Loudness,Energy,Valence,Mode,Danceability
52,Nick Drake,Pink Moon,rock,joy,joy,82.321,-15.435,0.26,0.491,1,0.456
53,Nick Drake,Place to Be,rock,joy,joy,83.34299999999999,-16.29,0.223,0.441,1,0.52
54,Nick Drake,Things Behind the Sun,rock,joy,sadness,102.868,-17.421,0.175,0.259,1,0.6809999999999999
55,Nick Drake,Which Will,rock,joy,joy,95.367,-17.283,0.185,0.43,0,0.637
56,Nirvana,Heart-Shaped Box,alternative rock,sadness,joy,101.539,-10.232999999999999,0.677,0.316,1,0.494
57,Owsley,Be With You,pop,sadness,joy,104.947,-3.738,0.912,0.299,1,0.523
58,Owsley,Matriarch,pop,joy,sadness,105.78,-7.106,0.5529999999999999,0.133,1,0.521
59,Owsley,Rise,pop,fear,fear,98.007,-4.479,0.8809999999999999,0.335,1,0.447
60,Owsley,She's the One,pop,sadness,sadness,84.198,-4.711,0.815,0.32899999999999996,1,0.358
61,Owsley,The Hard Way,pop,sadness,sadness,105.854,-5.962000000000001,0.7559999999999999,0.27399999999999997,0,0.511
62,Reagan Youth,Anytown,punk rock,sadness,joy,99.969,-13.950999999999999,0.733,0.413,0,0.391
63,Reagan Youth,New Aryans,punk rock,joy,sadness,101.34,-15.774000000000001,0.695,0.615,0,0.386
64,Sparklehorse,Everytime I'm With You,mashup,anger,joy,108.03,-8.019,0.522,0.39299999999999996,0,0.581
65,Sparklehorse,Grim Augury,mashup,joy,fear,77.967,-7.308,0.616,0.5329999999999999,0,0.34700000000000003
66,Sparklehorse,Insane Lullaby,mashup,joy,joy,85.021,-4.7860000000000005,0.6709999999999999,0.248,1,0.363
67,Sparklehorse,Just War,mashup,fear,fear,98.225,-6.805,0.521,0.11599999999999999,1,0.52
68,Sparklehorse,The Man Who Played God,mashup,joy,joy,70.493,-5.563,0.634,0.395,1,0.561
69,The Raphaels,Private Battlefield,country,fear,sadness,95.245,-7.175,0.387,0.315,1,0.542
70,Viro the Virus,Heat,underground rap,anger,anger,90.014,-5.181,0.708,0.5670000000000001,1,0.7020000000000001
71,Yavuz Cetin,Benimle Ucmak Ister misin,rock,sadness,fear,77.09899999999999,-7.8420000000000005,0.72,0.446,1,0.27699999999999997
72,Yavuz Cetin,Hersey Biter,rock,fear,joy,90.399,-7.327000000000001,0.695,0.556,0,0.5429999999999999
73,Yavuz Cetin,Sadece Senin Olmak,rock,joy,joy,83.637,-8.618,0.649,0.6,1,0.478
74,Yavuz Cetin,Yasamak Istemem,rock,anger,sadness,82.73100000000001,-8.222000000000001,0.596,0.444,0,0.405
