Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence

avicii,Friend of Mine,109.976,-4.387,0.7,22,0.702,0,0.603

avicii,Lonely Together,102.968,-5.284,0.683,22,0.65,1,0.228

avicii,So Much Better (Avicii Remix),109.938,-5.702,0.659,22,0.775,0,0.258

avicii,What Would I Change It To,109.994,-8.87,0.501,22,0.787,1,0.535

avicii,Without You,134.004,-4.799,0.863,22,0.653,1,0.276

avicii,You Be Love,124.99,-7.615,0.471,22,0.824,0,0.553

