Artist,Song Title,sadness,joy,fear,disgust,anger
Radiohead,House of Cards,0.158938,0.615518,0.05835,0.096101,0.11355
Radiohead,True Love Waits,0.015098,0.874546,0.058954,0.021597,0.049494
Rihanna,Diamonds,0.035042,0.872331,0.026329,0.031114,0.015802
Rihanna,Loveeeeee Song,0.70774,0.148363,0.184266,0.034246,0.069209
Rihanna,Stay,0.298373,0.057703,0.362004,0.085672,0.330887
Rihanna,Wild Thoughts,0.538439,0.032449,0.140086,0.315355,0.336162
Rihanna,Work,0.530959,0.535705,0.451771,0.052442,0.113913
Secondhand Serenade,Awake,0.560514,0.511638,0.132964,0.048797,0.105946
Sia,Big Girls Cry,0.92989,0.025633,0.141303,0.004421,0.025224
Sia,Burn the Pages,0.453566,0.026929,0.695751,0.00802,0.02819
Sia,Chandelier,0.570133,0.346714,0.02062,0.023287,0.089364
Taylor Swift,Blank Space,0.065982,0.638476,0.121695,0.086387,0.203889
Taylor Swift,Delicate,0.247435,0.543127,0.148934,0.024012,0.08469
Taylor Swift,Style,0.494116,0.07876,0.37484,0.024053,0.138671
Taylor Swift,This Love,0.799984,0.070348,0.188171,0.011773,0.069618
Taylor Swift,Welcome to New York,0.561511,0.172674,0.024161,0.230833,0.183814
The Script,Anybody There,0.736392,0.178716,0.107412,0.028922,0.059341
The Script,Anything Could Happen,0.430015,0.028025,0.637041,0.054663,0.11277
The Script,Arms Open,0.596852,0.087977,0.337191,0.043446,0.137716
The Script,Army of Angels,0.2769,0.34674,0.293126,0.010382,0.237928
Usher,I Don't Mind,0.187088,0.33122,0.070821,0.098884,0.513678
Usher,My Boo,0.46531,0.291134,0.066542,0.22136,0.132697
Usher,You Make Me Wanna,0.679671,0.010221,0.448669,0.042561,0.112879
ZAYN,BeFoUr,0.730913,0.022906,0.153802,0.181182,0.201623
ZAYN,BLUE,0.121888,0.810142,0.064894,0.004243,0.006193
ZAYN,BoRdErZ,0.039033,0.884455,0.047284,0.010907,0.011668
ZAYN,BRIGHT,0.368664,0.568176,0.052732,0.028107,0.02458
