Artist,Song Title,verse,chorus
Big Sean,100,"[verse] Couple niggas on the hitlist and bitches on a different type Same shit different nights till I live a different life ""Sean you looking tired"" damn homie that’s all? I’ve been stressin’ so hard I’m surprised I ain't going bald Haters praying I fall move back in with my moms Take online classes and turn back into ya’ll hatin’ I guess they want your lights out when you the plug Niggas wanna catch you slippin like they pulled the rug From where they move the drugs Buddha love Niggas sleepin with that mac and I ain't talkin’ bout computer love Owe the wrong people you a price tag Now you pray to God hoping that you got a Christ tag Make it where I’m from stay who I become Time to raise hell Satan ain't my son Taking elevators straight up out the slums to a penthouse view And have the fam there too uhh [verse] If I just stop breathing Even though I got all this muthafucking money Won't keep my heart beating Just don’t wake me up Don't wake me up You can’t catch me dreaming Bout all of this muthafucking money Cocaine rush I’m speeding Cocaine rush",[chorus] As I look up to the sky Thought about 100 things to do before I die Hit all the girls I want and make sure my niggas right And my family live that life La-la-lahhh as I look up to the sky Thought about 100 things to do before I die Wonderin’ if I could live it all in one life Cause it could all end in one night La-la-lahhh La-la-lahhh La-la-lahhh as I look up to the sky I thought about 100 things to do before I die [chorus] As I look up to the sky Thought about 100 things to do before I die Hit all the girls I want and make sure my niggas right And my family live that life La-la-lahhh as I look up to the sky Thought about 100 things to do before I die Wonderin’ if I could live it all in one life Cause it could all end in one night La-la-lahhh La-la-lahhh La-la-lahhh as I look up to the sky I thought about 100 things to do before I die
Cher Lloyd,Activated,[verse] Heads high kill 'em with a no-no-no-no Inside that's how we be Inside tell 'em we don't want no photos Let 'em talk let 'em talk 'bout me No fucks swinging from the balcony with Two cups one in each hand So up tell the DJ hit the button Load it up load it up my man [verse] Gold links that's what I call chain reaction Don’t think we gon' slow down This drink threw me into automatic Revvin' up revvin' up lights out Vroom...They don't see me comin'! They don't see me comin'! Vroom...They don't see me comin'!,[chorus] They like ooh they like ooh Baby just wait on it When I do the damn thing just watch me When I do the damn thing just watch me They like ooh they like ooh Hold up I ain't done yet When I do the damn thing just watch me When I do the damn thing just watch me [chorus] They like ooh they like ooh Baby just wait on it When I do the damn thing just watch me When I do the damn thing just watch me They like ooh they like ooh Hold up I ain't done yet When I do the damn thing just watch me When I do the damn thing just watch me  They like ooh they like ooh Baby just wait on it When I do the damn thing just watch me When I do the damn thing just watch me  They like ooh they like ooh Baby just wait on it When I do the damn thing just watch me When I do the damn thing just watch me They like ooh they like ooh Hold up I ain't done yet When I do the damn thing just watch me When I do the damn thing just watch me
Cher Lloyd,Alone With Me,[verse] We can be the Bonnie and the Clyde of a new day We can be a Johnny and a June if you want me boy But I’m over here in the corner boy Dreaming about us together If you wanna go to heaven I'll take ya If you wanna get a little hot I’m on fire boy But I’m over here in the corner boy Dreaming about us together [verse] I could be a diamond in the rough come and find it You could be a Jekyll or a Hyde I can take you boy But I’m over here in the corner boy Feels like I’ve waited forever If you ever wanted someone to know ya I could be the only one who knows how to get you boy But I’m over here in the corner boy Feels like I’ve waited forever [verse] Yeah we can be living large I'll take you up to the stars So why are we still apart? Yeah we can be living large I'll take you up to the stars So why are we still apart?,[chorus] Yeah you… You dance with everyone but You don’t even know It’s me that you should hold Yeah you You dance with everyone but They can all go home Cause I want you alone With me [chorus] While you… You dance with everyone but You don’t even know It’s me that you should hold Yeah you You dance with everyone but They can all go home Cause I want you alone With me
Cher Lloyd,Beautiful People,[verse] It's my last big breath what you want me to do? When you act all cool like you already knew That I'll be stuck here cold just waiting it through 'Til your heart starts beating for that somebody new You know that it's true [verse] It's a wicked game that you're making me play (making me play) Where I crawl back home as you're walking away (hey hey) And it's all quite clear what you want me to say (what you want me to say) But you'll be so long gone if I ask you to stay You know that it's true,[chorus] Cause it's beautiful people like you Who get whatever they want And it's beautiful people like you Who suck the life right outta my heart And it's beautiful people like you Who make me cry Cause nobody else could be nearly as cruel as you [chorus] Cause it's beautiful people like you Who get whatever they want And it's beautiful people like you Who suck the life right outta my heart And it's beautiful people like you Who make me cry Cause nobody else could be nearly as cruel as you Cruel as you As you
Cher Lloyd,Behind The Music,"[verse] You gotta get behind cross your heart hope to die Splash a hype dash a pretty that don't mean I'll buy Okay alright already they getting money All the frauds all the phonies all the fakes slow down It's a fast paced world breathe breathe Look my face in the mirror Say ""Who the heck am I?"" Look me in the eye Is this conviction or addiction or a waste of time? Just mean a genre yeah I've tried it Been doin' this from 15 to life yeah I need a break already I gotta find it And for the first time in my life I'm doing my shtick I I I I wanna stand up in this block stop burning Girls getting crazed look at Nicki look at Katy Chew it up make my teeth rot You think I'm talkin' to ya? I'm probably not not [verse] Rewind when I was a little younger Lookin' for a label and a little clean danger L.A. had a taste for a new adventure We opened every ""do not enter"" I was tryin' hard to be somebody be the cool kid at the party Lookin' at me laddy daddy hottie hottie hot tamale Strenger sizing up my body told me I could be somebody Wait someone stopped me went home and I called my mommy I know I'm not that girl I still wanna be the leader of a free world Yeah I'm a big dreamer I'm a believer Just try to tell me ""no"" Imma go full steam ahead No can't slow me down Gonna run this town from the inside out Block by block from the bottom to the top I know just who I am and I know just who I'm not",[chorus] No you don't stand a chance For a second in my world The same old song it won't last long If you can't stand behind the music All the fame all the girls And all the money in this world They don't mean shit better admit If you can't stand behind the music  So stand up show 'em how we do it Won't back down until I see your hands up Tell 'em what the truth is Stand behind the music [chorus] No you don't stand a chance For a second in my world The same old song it won't last long If you can't stand behind the music All the fame all the girls And all the money in this world They don't mean shit better admit If you can't stand behind the music [chorus] No you don't stand a chance For a second in my world The same old song it won't last long If you can't stand behind the music All the fame all the girls And all the money in this world They don't mean shit better admit If you can't stand behind the music
Christina Grimmie,Absolutely Final Goodbye,[verse] You walked into the room like king of the world Like you could have your pick of all of the girls (true) There's rumors you've been looking all over town (true) Tryin' to hook someone for jamming around  I got news for you this time it is over Boy I see right through We are going nowhere I'd rather starve than eat your pretty little lies Oh oh oh [verse] I spelled it out do you get it now? I spelled it out do you get it now? I spelled it out do you get it now? Haha ho I'm telling you At first you showered me with all your attention (yeah) Tryin' to do some things I can't even mention (true) You wanna have your way and still kiss the girl (so true) But you are living in a dream world  I got news for you this time it is over (ooh-ooh) Boy I see right through We are going nowhere I'd rather starve than eat your pretty little lies Oh oh oh [verse] These games that you're playing Are played and I'm saying No use in wasting That clever little mouth You can't kid a kidder The sweet taste is bitter Boy I found you out,[chorus] This is my absolutely final I am really leaving goodbye Every time I take you back you do me over goodbye Pack your bag get in a cab and don't look back it's goodbye Absolutely final I am really leaving goodbye [chorus] This is my absolutely final I am really leaving goodbye Every time I take you back you do me over goodbye Pack your bag get in a cab and don't look back it's goodbye Absolutely final I am really leaving goodbye
Christina Grimmie,After You Get What You Want,[verse] After you get what you want you don't want it If I gave you the moon you'd grow tired of it soon You're like a baby You want what you want when you want it But after you are presented With what you want you're discontented [verse] Don't you say that I'm unkind Think it over and you'll find You've got a changeable nature You're always changing your mind There's a longing in your eye That is hard to satisfy You're unhappy most of the time Here's the reason why And tho' you sit upon my knee,[chorus] You're always wishing and wanting for something When you get what you want You don't want what you get And tho' I sit upon your knee You'll grow tired of me 'Cause after you get what you want You don't want what you wanted at all
Christina Grimmie,Anybody's You,[verse] Clearing off a table in my mind was set for two Acting like it's nothing but i'm feeling like a fool And something's gotta break before another one brings me down They bring me down Next one had me trusting every word I thought was true How could you keep lying as she's lying next to you And something's gotta break before another one brings me down They bring me down [verse] Chasing after trouble with the one I wouldn't keep One of many wasting time falling at his feet Feels good going up then it crashes hard when it brings me down They bring me down I'm getting tired tired of looking everywhere for somebody like you I'm just tired tired and it brings me down They bring me down,[chorus] But what if there's something that I keep missing What if there's someone that I can't lose Nights when I'm crying will he listen Isn't there anybody? Anybody? What if there's someone that makes me happy Someone that I already knew What if what it what if that anybody? Anybody's you? Any anybody's you? Yeah [chorus] But what if there's something that I keep missing What if there's someone that I can't lose Nights when I'm crying will he listen Isn't there anybody? Anybody? What if there's someone that makes me happy Someone that I already knew What if what it what if that anybody?  What if there's something that I keep missing What if there's someone that I can't lose Night when I'm crying will he listen Isn't there anybody? Anybody? What if there's someone that makes me happy Someone that I already knew What if what it what if that anybody?
David Archuleta,A Little Too Not Over You,[verse] It never crossed my mind at all It's what I tell myself What we had has come and gone You're better off with someone else It's for the best I know it is But I see you Sometimes I try to hide What I feel inside And I turn around You're with him now I just can't figure it out [verse] Memories supposed to fade What's wrong with my heart? Shake it off let it go Didn't think it'd be this hard Should be strong movin' on But I see you Sometimes I try to hide What I feel inside And I turn around You're with him now I just can't figure it out,[chorus] Tell me why you're so hard to forget Don't remind me I'm not over it Tell me why I can't seem to face the truth I'm just a little too not over you Not over you... [chorus] Tell me why you're so hard to forget Don't remind me I'm not over it Tell me why I can't seem to face the truth I'm just a little too not over you Maybe I regret everything I said No way to take it all back yeah Now I'm on my own How I let you go I'll never understand I'll never understand yeah oohh
David Archuleta,Crush,[verse] I hung up the phone tonight Something happened for the first time deep inside It was a rush what a rush 'Cause the possibility That you would ever feel the same way about me It's just too much just too much [verse] Has it ever crossed your mind When we're hanging spending time girl are we just friends? Is there more is there more? See it's a chance we've gotta take 'Cause I believe that we can make this into something that will last Last forever forever,[chorus] Do you ever think when you're all alone All that we can be where this thing can go? Am I crazy or falling in love? Is it real or just another crush? Do you catch a breath when I look at you? Are you holding back like the way you do? 'Cause I'm trying and trying to walk away But I know this crush ain't goin' [chorus] Do you ever think when you're all alone All that we can be where this thing can go? Am I crazy or falling in love? Is it real or just another crush? Do you catch a breath when I look at you? Are you holding back like the way I do? 'Cause I'm trying and trying to walk away But I know this crush ain't goin' away
