Artist,Song Title,sadness,joy,fear,disgust,anger
Rihanna,Loveeeeee Song,0.195506,0.295863,0.262328,0.024893,0.115056
Rihanna,Stay,0.371688,0.246521,0.220182,0.025462,0.102027
Rihanna,Wild Thoughts,0.277755,0.515892,0.15684,0.021689,0.042574
Rihanna,Work,0.473276,0.440431,0.529751,0.085386,0.109763
Sia,Big Girls Cry,0.891479,0.013472,0.151485,0.042976,0.092547
Sia,Burn the Pages,0.26585,0.069879,0.053512,0.010391,0.037082
Sia,Chandelier,0.684975,0.170931,0.103137,0.030143,0.106204
Taylor Swift,Blank Space,0.177964,0.244686,0.159985,0.041198,0.531905
Taylor Swift,Delicate,0.078464,0.498204,0.05732,0.02027,0.039853
Taylor Swift,Style,0.214691,0.574062,0.125501,0.043106,0.118875
Taylor Swift,This Love,0.058909,0.855141,0.03129,0.016911,0.023931
Taylor Swift,Welcome to New York,0.025042,1.0,0.006917,0.007489,0.055794
The Script,Anybody There,0.123187,0.606855,0.033352,0.015405,0.086227
The Script,Anything Could Happen,0.213881,0.106903,0.11731,0.034325,0.077182
The Script,Arms Open,0.67445,0.158016,0.242987,0.004665,0.039622
The Script,Army of Angels,0.101243,0.743941,0.083319,0.037986,0.017469
Usher,I Don't Mind,0.31306,0.087109,0.175006,0.039401,0.440452
Usher,My Boo,0.227118,0.019306,0.129802,4.2e-05,0.002422
Usher,You Make Me Wanna,0.064879,0.632269,0.038139,0.023654,0.110941
ZAYN,BeFoUr,0.618467,0.036679,0.094771,0.171564,0.186567
ZAYN,BLUE,0.065167,0.843343,0.013642,0.004349,0.025062
ZAYN,BoRdErZ,0.552735,0.022116,0.301105,0.098737,0.256616
ZAYN,BRIGHT,0.446061,0.078175,0.310375,0.029286,0.044064
