Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus
Donny Hathaway,I Love You More Than You'll Ever Know,86.23899999999998,-15.617,0.219,10,0.304,0,0.199,0.09085,0.713795,0.107607,0.043475,0.056162000000000004,0.376801,0.443461,0.05954299999999999,0.074556,0.131641
Donny Hathaway,Lord Help Me,127.897,-7.903,0.523,10,0.419,1,0.4270000000000001,0.059698,0.716003,0.022702,0.005684000000000001,0.008867,0.042608999999999994,0.877926,0.053002999999999995,0.003921,0.00626
Donny Hathaway,Love love love,93.777,-8.71,0.636,10,0.4970000000000001,1,0.69,0.136344,0.74854,0.128923,0.004604,0.016793000000000002,0.10436600000000001,0.797056,0.083949,0.041533999999999995,0.011629
Donny Hathaway,Magdalena,131.83,-9.523,0.778,10,0.438,1,0.833,0.45935200000000004,0.20021,0.136999,0.186594,0.286329,0.213641,0.442267,0.37001300000000004,0.014906,0.028064
Donny Hathaway,Someday We'll All Be Free,77.02199999999998,-11.497,0.413,10,0.379,1,0.249,0.07295,0.620038,0.34371,0.012163,0.013722,0.13056099999999998,0.361711,0.101137,0.10056,0.167884
Elliott Smith,A Distorted Reality is Now a Necessity to be Free,83.512,-9.621,0.441,11,0.575,1,0.294,0.48438000000000003,0.09350499999999999,0.058717,0.227338,0.45647600000000005,0.24543800000000002,0.713148,0.05363099999999999,0.001375,0.002665
Elliott Smith,A Passing Feeling,73.715,-8.465,0.52,11,0.368,0,0.16,0.495476,0.035331,0.185409,0.040119,0.529884,0.498328,0.090286,0.216902,0.20309100000000002,0.14444200000000001
Elliott Smith,Coast To Coast,84.40899999999998,-9.803,0.677,11,0.183,1,0.174,0.337405,0.01923,0.188802,0.063707,0.6733560000000001,0.24913400000000002,0.027358999999999998,0.23603200000000002,0.012541,0.35731799999999997
Elliott Smith,Don't Go Down,176.25099999999995,-8.206,0.583,11,0.173,1,0.229,0.259339,0.47319399999999995,0.178368,0.026683,0.20845300000000003,0.0777,0.610824,0.058362,0.143131,0.09066
Elliott Smith,King's Crossing,122.553,-10.027,0.343,11,0.395,0,0.0589,0.071386,0.589084,0.194245,0.04962,0.215675,0.41568999999999995,0.00978,0.083829,0.281077,0.574887
Elliott Smith,Let's Get Lost,92.112,-15.223,0.337,11,0.541,0,0.575,0.160949,0.25199299999999997,0.202323,0.11861400000000001,0.163833,0.669995,0.22384,0.161022,0.024562999999999998,0.06707300000000001
Elliott Smith,Little One,118.995,-14.704,0.135,11,0.466,1,0.271,0.704372,0.11724200000000001,0.185224,0.012136,0.081225,0.120227,0.189661,0.48715,0.004764,0.090209
Elliott Smith,Memory Lane,106.043,-12.264,0.35600000000000004,11,0.613,0,0.484,0.050727999999999995,0.097055,0.48618999999999996,0.186834,0.48899899999999996,0.5210640000000001,0.024529,0.445633,0.08862,0.264371
Elliott Smith,Pretty (Ugly Before),75.788,-7.707999999999998,0.509,11,0.487,1,0.19,0.34824,0.5137149999999999,0.09805599999999999,0.09700299999999999,0.044646,0.190166,0.709704,0.07749099999999999,0.021506,0.036871
Elliott Smith,Shooting Star,105.953,-7.562,0.7979999999999999,11,0.517,1,0.505,0.30093600000000004,0.541403,0.018086,0.094115,0.132272,0.862848,0.005649,0.174967,0.152429,0.060961
Elliott Smith,Strung Out Again,122.524,-10.028,0.362,11,0.453,0,0.212,0.105701,0.6472479999999999,0.028227999999999996,0.254386,0.06169500000000001,0.302989,0.030427,0.21049099999999998,0.141373,0.589377
Elliott Smith,The Last Hour,117.878,-17.814,0.171,11,0.594,1,0.279,0.611254,0.064362,0.374812,0.087512,0.15925899999999998,0.19606099999999999,0.118505,0.290674,0.06993400000000001,0.516092
Elliott Smith,Twilight,140.998,-13.039,0.377,11,0.428,1,0.487,0.52915,0.43604899999999996,0.070999,0.008801999999999999,0.011067,0.190855,0.7737470000000001,0.046808999999999996,0.003043,0.008008
Ephraim Lewis,Drowning in Your Eyes,110.446,-12.625,0.419,12,0.6890000000000001,0,0.529,0.27800199999999997,0.6298060000000001,0.11123699999999999,0.006726,0.021566,0.406487,0.20917399999999997,0.260412,0.22205100000000003,0.140722
Ephraim Lewis,Mortal Seed,86.095,-11.008,0.423,12,0.318,1,0.298,0.36433000000000004,0.506253,0.017574,0.025213,0.144676,0.354925,0.216322,0.26873400000000003,0.1936,0.167445
Ephraim Lewis,Sad Song,120.577,-13.414,0.457,12,0.6,1,0.5579999999999999,0.850209,0.034230000000000003,0.246544,0.024878,0.02224,0.913824,0.059421,0.034119,0.016625,0.008014
Germs,American Leather,130.154,-7.286,0.949,13,0.289,1,0.69,0.536321,0.04231,0.433583,0.080736,0.245523,0.20858600000000002,0.157994,0.042131,0.450428,0.100388
Germs,Caught In My Eye,148.016,-15.743,0.799,13,0.364,0,0.422,0.35714,0.099436,0.478995,0.096606,0.29118,0.524226,0.133482,0.382334,0.127875,0.064777
Germs,Communist Eyes,126.523,-8.816,0.895,13,0.361,1,0.855,0.205513,0.263982,0.077051,0.505217,0.109643,0.682948,0.026904,0.194555,0.12009,0.184849
Germs,Dragon Lady,114.152,-8.683,0.7759999999999999,13,0.399,1,0.732,0.6549020000000001,0.093872,0.16842200000000002,0.082116,0.27067800000000003,0.13034300000000001,0.682701,0.034588,0.164348,0.037305
Germs,Land of Treason,125.561,-7.45,0.99,13,0.45,0,0.461,0.7075520000000001,0.061097000000000005,0.211179,0.14713099999999998,0.12903499999999998,0.526529,0.103647,0.19883199999999998,0.185443,0.31981
Germs,Let's Pretend,108.918,-7.776,0.986,13,0.43,0,0.337,0.594633,0.28764,0.055242999999999993,0.032539,0.148502,0.16869800000000001,0.08469199999999999,0.034214999999999995,0.322718,0.63351
Germs,Lexicon Devil,106.272,-7.4689999999999985,0.877,13,0.504,0,0.821,0.5738810000000001,0.007456999999999999,0.110402,0.377127,0.304388,0.046873000000000005,0.49672,0.203259,0.14721800000000002,0.13558800000000001
