,Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,Genre,Loudness,Energy,Danceability,Mode,Valence
0,Albert Ayler,Music is the Healing force of the Universe,0.297842,0.6435270000000001,0.023434,0.0018629999999999999,0.058053999999999994,0.183425,0.7730319999999999,0.035934,0.0012439999999999999,0.014387,avant-garde,-7.32,0.736,0.424,1,0.303
1,Antonio Flores,Isla de Palma,0.403503,0.377848,0.154008,0.15808,0.011867,0.132957,0.572446,0.377735,0.002654,0.008717,ballad,-11.333,0.6609999999999999,0.862,1,0.883
2,Badfinger,Come On,0.428785,0.41616899999999996,0.064478,0.023707,0.171035,0.153447,0.328575,0.14058900000000002,0.071614,0.12738,rock,-6.832000000000001,0.877,0.7170000000000001,1,0.519
3,Badfinger,Dennis,0.061348,0.42565699999999995,0.467841,0.13389,0.066499,0.548347,0.205348,0.044473,0.097251,0.24851199999999998,rock,-8.446,0.6659999999999999,0.547,1,0.32899999999999996
4,Badfinger,Just A Chance,0.5142359999999999,0.050308,0.193708,0.048115,0.143655,0.6319100000000001,0.012463,0.280514,0.090544,0.25258800000000003,rock,-9.062999999999999,0.752,0.71,1,0.39799999999999996
5,Badfinger,Know One Knows,0.48610699999999996,0.304272,0.23428800000000002,0.021502,0.07498400000000001,0.10843599999999999,0.730176,0.068314,0.037594,0.053366,rock,-8.228,0.743,0.5479999999999999,0,0.475
6,Badfinger,Rock N' Roll Contract,0.701646,0.062193,0.118404,0.104477,0.24094699999999997,0.15404500000000002,0.20992399999999997,0.163634,0.066356,0.120948,rock,-9.317,0.841,0.49,0,0.325
7,Badfinger,Three Time Loser,0.5155069999999999,0.22885999999999998,0.13389500000000001,0.168,0.118165,0.609175,0.064401,0.06982100000000001,0.168463,0.35641300000000004,rock,-8.013,0.897,0.8740000000000001,1,0.627
8,Badfinger,Too Hung Up On You,0.21023499999999998,0.272624,0.149741,0.153876,0.11425199999999999,0.6931729999999999,0.022259,0.147759,0.086962,0.364451,rock,-8.514,0.731,0.721,1,0.649
9,Billie Holiday,Gloomy Sunday,0.274873,0.306347,0.040596,0.005224,0.49692299999999995,0.229971,0.338509,0.547,0.00053,0.01277,blues,-11.273,0.0823,0.191,0,0.484
10,Del Shannon,Runaway,0.249214,0.656907,0.125629,0.001989,0.01207,0.767237,0.021319,0.242946,0.041519,0.180976,pop,-5.811,0.629,0.853,1,0.715
11,Ephraim Lewis,Drowning in Your Eyes,0.27800199999999997,0.6298060000000001,0.11123699999999999,0.006726,0.021566,0.406487,0.20917399999999997,0.260412,0.22205100000000003,0.140722,rock,-12.625,0.419,0.529,0,0.6890000000000001
12,Ephraim Lewis,Mortal Seed,0.36433000000000004,0.506253,0.017574,0.025213,0.144676,0.354925,0.216322,0.26873400000000003,0.1936,0.167445,rock,-11.008,0.423,0.298,1,0.318
13,Ephraim Lewis,Sad Song,0.850209,0.034230000000000003,0.246544,0.024878,0.02224,0.913824,0.059421,0.034119,0.016625,0.008014,rock,-13.414000000000001,0.457,0.5579999999999999,1,0.6
14,Herman Brood,My Way,0.703905,0.133251,0.144921,0.109828,0.095601,0.685343,0.282552,0.030786,0.013218,0.047737,ballad,-15.722000000000001,0.282,0.141,1,0.425
15,Herman Brood,When I Get Home,0.37590500000000004,0.192363,0.277942,0.034638,0.11770599999999999,0.082429,0.683606,0.109604,0.085018,0.10307999999999999,pop,-15.936,0.14,0.57,1,0.607
