,Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,Genre,Energy,Danceability,Mode,Valence
27,Justin Bieber,Love Yourself,0.778808,0.009434,0.118103,0.090486,0.29428000000000004,0.070351,0.748378,0.037243,0.014355000000000001,0.031631,pop,0.376,0.545,1,0.607
28,Justin Bieber,Sorry,0.430203,0.0023120000000000003,0.24944299999999997,0.093948,0.5563779999999999,0.516664,0.005572,0.183648,0.052385,0.08771699999999999,pop,0.768,0.414,0,0.605
29,Justin Bieber,What Do You Mean,0.368356,0.279495,0.047184,0.045176999999999995,0.188608,0.20858200000000002,0.459129,0.15933599999999998,0.059463,0.133443,pop,0.5710000000000001,0.8009999999999999,0,0.8370000000000001
30,Michael Jackson,Beat It,0.424755,0.146612,0.04217,0.14010699999999998,0.49148800000000004,0.056254,0.061916,0.032714,0.0032170000000000002,0.015144,soul,0.867,0.915,0,0.779
31,Michael Jackson,Billie Jean,0.194474,0.6216109999999999,0.040428,0.006736,0.048805,0.434205,0.12173699999999998,0.11608399999999999,0.140575,0.198383,soul,0.654,0.847,0,0.92
32,Michael Jackson,Smooth Criminal,0.27163200000000004,0.139752,0.167708,0.221363,0.45746099999999995,0.09407,0.021431,0.155507,0.074033,0.270455,soul,0.981,0.595,1,0.853
33,Michael Jackson,They Don't Care About Us,0.340352,0.018792,0.106305,0.352006,0.5538810000000001,0.46549700000000005,0.009834,0.175905,0.08680399999999999,0.17835,soul,0.905,0.73,0,0.8590000000000001
34,Miley Cyrus,4x4,0.633552,0.43581499999999995,0.147564,0.150819,0.5724229999999999,0.20261700000000002,0.239637,0.094718,0.020146,0.10912999999999999,pop,0.797,0.922,0,0.922
35,Miley Cyrus,7 Things,0.713817,0.013463,0.200238,0.027338,0.32853699999999997,0.613893,0.151335,0.081006,0.030912000000000002,0.306199,pop,0.893,0.591,0,0.599
36,Miley Cyrus,Adore You,0.088541,0.02732,0.94386,0.01806,0.028669,0.39097800000000005,0.357566,0.052064,0.006804000000000001,0.036264,pop,0.655,0.201,1,0.583
37,Radiohead,All I Need,0.21962399999999999,0.124622,0.335629,0.125862,0.38250700000000004,0.20916500000000002,0.019249000000000002,0.18454600000000002,0.11319100000000001,0.27897,alternative rock,0.47700000000000004,0.0966,0,0.6679999999999999
38,Radiohead,Burn the Witch,0.256863,0.061659000000000005,0.561159,0.149559,0.281087,0.293225,0.11288599999999999,0.20439200000000002,0.070913,0.142087,alternative rock,0.847,0.62,1,0.541
39,Radiohead,Creep,0.471891,0.467768,0.104592,0.0017929999999999999,0.004804999999999999,0.087257,0.004517,0.239587,0.178694,0.599232,alternative rock,0.43,0.10400000000000001,1,0.515
40,Radiohead,House of Cards,0.15893800000000002,0.615518,0.05835,0.096101,0.11355,0.40710599999999997,0.115401,0.266758,0.043401999999999996,0.374808,alternative rock,0.496,0.637,1,0.71
41,Radiohead,True Love Waits,0.015097999999999999,0.8745459999999999,0.058954,0.021597,0.049493999999999996,0.265515,0.047341,0.0885,0.0331,0.069038,alternative rock,0.132,0.0379,1,0.282
42,ZAYN,BeFoUr,0.730913,0.022906,0.153802,0.18118199999999998,0.201623,0.618467,0.036679,0.09477100000000001,0.17156400000000002,0.186567,pop,0.629,0.18600000000000003,0,0.679
43,ZAYN,BLUE,0.12188800000000001,0.810142,0.06489400000000001,0.004243,0.006193,0.065167,0.8433430000000001,0.013642,0.0043490000000000004,0.025062,pop,0.184,0.156,1,0.222
44,ZAYN,BoRdErZ,0.039033,0.8844549999999999,0.047284,0.010907,0.011668000000000001,0.5527350000000001,0.022116,0.301105,0.098737,0.256616,pop,0.147,0.0393,0,0.602
45,Albert Ayler,Music is the Healing force of the Universe,0.297842,0.6435270000000001,0.023434,0.0018629999999999999,0.058053999999999994,0.183425,0.7730319999999999,0.035934,0.0012439999999999999,0.014387,avant-garde,0.736,0.424,1,0.303
46,Antonio Flores,Isla de Palma,0.403503,0.377848,0.154008,0.15808,0.011867,0.132957,0.572446,0.377735,0.002654,0.008717,ballad,0.6609999999999999,0.862,1,0.883
47,Badfinger,Come On,0.428785,0.41616899999999996,0.064478,0.023707,0.171035,0.153447,0.328575,0.14058900000000002,0.071614,0.12738,rock,0.877,0.7170000000000001,1,0.519
48,Badfinger,Dennis,0.061348,0.42565699999999995,0.467841,0.13389,0.066499,0.548347,0.205348,0.044473,0.097251,0.24851199999999998,rock,0.6659999999999999,0.547,1,0.32899999999999996
49,Badfinger,Just A Chance,0.5142359999999999,0.050308,0.193708,0.048115,0.143655,0.6319100000000001,0.012463,0.280514,0.090544,0.25258800000000003,rock,0.752,0.71,1,0.39799999999999996
50,Badfinger,Know One Knows,0.48610699999999996,0.304272,0.23428800000000002,0.021502,0.07498400000000001,0.10843599999999999,0.730176,0.068314,0.037594,0.053366,rock,0.743,0.5479999999999999,0,0.475
51,Badfinger,Rock N' Roll Contract,0.701646,0.062193,0.118404,0.104477,0.24094699999999997,0.15404500000000002,0.20992399999999997,0.163634,0.066356,0.120948,rock,0.841,0.49,0,0.325
52,Badfinger,Three Time Loser,0.5155069999999999,0.22885999999999998,0.13389500000000001,0.168,0.118165,0.609175,0.064401,0.06982100000000001,0.168463,0.35641300000000004,rock,0.897,0.8740000000000001,1,0.627
53,Badfinger,Too Hung Up On You,0.21023499999999998,0.272624,0.149741,0.153876,0.11425199999999999,0.6931729999999999,0.022259,0.147759,0.086962,0.364451,rock,0.731,0.721,1,0.649
54,Billie Holiday,Gloomy Sunday,0.274873,0.306347,0.040596,0.005224,0.49692299999999995,0.229971,0.338509,0.547,0.00053,0.01277,blues,0.0823,0.191,0,0.484
55,Bob Brozman,The Lonesome Road,0.45736099999999996,0.204122,0.238156,0.058784,0.029774000000000002,0.051102999999999996,0.551653,0.05519299999999999,0.198594,0.11441199999999999,country blues,0.127,0.36,1,0.56
56,Chris Cornell,Before We Disappear,0.317384,0.496134,0.11780999999999998,0.048092,0.109866,0.44261000000000006,0.025406,0.685311,0.035944,0.046943,alternative metal,0.6729999999999999,0.326,1,0.39899999999999997
57,Chris Cornell,Bend In The Road,0.191621,0.693554,0.017372,0.003055,0.129111,0.612576,0.24879400000000002,0.13903800000000002,0.064397,0.045792,alternative metal,0.58,0.304,1,0.36700000000000005
58,Chris Cornell,Circling,0.569551,0.041718,0.554285,0.025083,0.072979,0.33569299999999996,0.48992399999999997,0.154446,0.026764,0.08544700000000001,alternative metal,0.441,0.10400000000000001,1,0.406
59,Chris Cornell,Dead Wishes,0.615354,0.21843600000000002,0.178887,0.10438099999999999,0.04768,0.795809,0.093513,0.102527,0.058302,0.140224,alternative metal,0.716,0.34299999999999997,1,0.5720000000000001
60,Chris Cornell,Higher Truth,0.672986,0.063663,0.131557,0.106099,0.28499,0.47948500000000005,0.217468,0.19661900000000002,0.068438,0.136569,alternative metal,0.792,0.611,0,0.595
61,Chris Cornell,Josephine,0.5438850000000001,0.035203,0.193867,0.275321,0.320851,0.123485,0.673944,0.085654,0.07589299999999999,0.122748,alternative metal,0.379,0.222,1,0.299
62,Chris Cornell,Let Your Eyes Wander,0.211684,0.626149,0.073351,0.060451,0.108624,0.12998099999999999,0.749993,0.063371,0.04376,0.033951,alternative metal,0.294,0.579,1,0.516
63,Chris Cornell,Misery Chain,0.602662,0.524435,0.14215999999999998,0.092139,0.187927,0.721122,0.19127,0.08519,0.065486,0.129457,alternative metal,0.33799999999999997,0.115,0,0.456
64,Chris Cornell,Murderer Of Blue Skies,0.21490399999999998,0.233325,0.09903300000000001,0.141549,0.49976400000000004,0.383639,0.06705599999999999,0.38795100000000005,0.059334000000000005,0.22573600000000002,alternative metal,0.745,0.32,1,0.49200000000000005
65,Chris Cornell,Nearly Forgot My Broken Heart,0.375369,0.065137,0.42719799999999997,0.162104,0.338014,0.8851629999999999,0.013675999999999999,0.173622,0.086631,0.0706,alternative metal,0.792,0.611,0,0.595
66,Chris Cornell,Only These Words,0.24746700000000002,0.672878,0.043268,0.032027,0.041523000000000004,0.133507,0.6846770000000001,0.069854,0.083578,0.026534,alternative metal,0.634,0.789,1,0.556
67,Chris Cornell,Our Time In The Universe,0.358566,0.40178600000000003,0.136081,0.00978,0.201823,0.18825999999999998,0.205945,0.686933,0.016832,0.040598,alternative metal,0.865,0.415,0,0.521
68,Chris Cornell,Through The Window,0.766712,0.078323,0.134957,0.143501,0.076859,0.799711,0.057615999999999994,0.20591700000000002,0.086355,0.05910700000000001,alternative metal,0.479,0.376,1,0.528
69,Chris Cornell,Worried Moon,0.091185,0.476891,0.5136390000000001,0.0033590000000000004,0.004311,0.08746699999999999,0.027292,0.9473020000000001,0.023888999999999997,0.016457,alternative metal,0.755,0.479,1,0.534
70,Chris Cornell,Wrong Side,0.639452,0.053253999999999996,0.156443,0.055125,0.38201999999999997,0.41337299999999993,0.14878,0.172499,0.21749000000000002,0.334663,alternative metal,0.6609999999999999,0.158,0,0.392
71,Del Shannon,Runaway,0.249214,0.656907,0.125629,0.001989,0.01207,0.767237,0.021319,0.242946,0.041519,0.180976,pop,0.629,0.853,1,0.715
